step,mode,loss,angle_error(rad),distance(m),x(m),y(m)
1,training,0.06460004,0.18863055109977722,0.0,75.8930737866,59.4013318398
2,training,0.049976923,0.1804338395595551,0.0,75.8930737866,59.4013318398
3,training,0.025321163,0.10570494830608368,0.0,75.8930737866,59.4013318398
4,training,0.013657113,0.10159188508987427,0.0,75.8930737866,59.4013318398
5,training,0.009556368,0.09073492884635925,0.0,75.8930737866,59.4013318398
6,training,0.010858473,0.16781634092330933,0.0,75.8930737866,59.4013318398
7,training,0.018647617,0.21324682235717773,0.12295450096694617,76.178623476,59.3812308632
8,training,0.039595187,0.34451621770858765,0.12295450096694617,76.178623476,59.3812308632
9,training,0.09050362,0.6021082997322083,0.12295450096694617,76.3070938924,59.3802833261
10,training,0.084641136,0.5263399481773374,0.23103823803758425,76.3070938924,59.3802833261
11,training,0.16580254,0.7913552522659302,0.3162448872313372,76.4043777087,59.3496340656
12,training,0.13021176,0.7578521966934202,0.35537413743727175,76.4429522527,59.3562144059
13,training,0.17480317,0.6624017357826233,0.3805649082231025,76.4669986571,59.3646650126
14,training,0.22591726,0.5658906698226929,0.38738885622429087,76.4761468856,59.3518471733
15,training,0.17123187,0.3471642732620239,0.3769464026565275,76.4694664403,59.3169363293
16,training,0.20406179,0.12817460298538208,0.3640587310354826,76.4551821644,59.332449953
17,training,0.22013794,0.07861083745956421,0.33211741953556484,76.4245072643,59.3172708856
18,training,0.17328691,0.24446374177932728,0.33211741953556484,76.4245072643,59.3172708856
19,training,0.23279426,0.35213714838027965,0.2582401167822441,76.3508757493,59.2741880771
20,training,0.10053164,0.561051607131958,0.2582401167822441,76.3508757493,59.2741880771
21,training,0.26879635,0.7216014415025711,0.17906929055579854,76.2720084531,59.281337799
22,training,0.2425674,0.7355071865022182,0.17906929055579854,76.2720084531,59.281337799
23,training,0.3104328,0.6237975805997849,0.17906929055579854,76.2720084531,59.281337799
24,training,0.19513898,0.5570989772677422,0.17906929055579854,76.2720084531,59.281337799
25,training,0.2490031,0.6201537251472473,0.17906929055579854,76.2720084531,59.281337799
26,training,0.18578458,0.6115080118179321,0.02770096174503719,76.0761368654,59.3144432769
27,training,0.3398653,0.05588442087173462,0.02770096174503719,76.0761368654,59.3144432769
28,training,0.25143978,0.516068696975708,0.02770096174503719,76.0761368654,59.3144432769
29,training,0.18064539,0.40868085622787476,0.021165775041849664,75.9596802307,59.3500451531
30,training,0.084669285,0.5465838313102722,0.021165775041849664,75.9596802307,59.3500451531
31,training,0.21049705,0.3463428020477295,0.021165775041849664,75.9596802307,59.3500451531
32,training,0.25052065,0.3219641298055649,0.10081390654223611,75.8491994589,59.4099150706
33,training,0.1695817,0.6030589044094086,0.10081390654223611,75.8491994589,59.4099150706
34,training,0.09592984,0.6090500056743623,0.16587606607519612,75.7843122425,59.4687347102
35,training,0.054997288,0.47550708055496227,0.16587606607519612,75.7843122425,59.4687347102
36,training,0.1386713,0.3229621648788452,0.2163656065269571,75.7339191162,59.5218201691
37,training,0.24949445,0.09778434038162226,0.2163656065269571,75.7339191162,59.5218201691
38,training,0.19675909,0.043857246637344416,0.24180978107226733,75.708219606,59.612291877
39,training,0.19121741,0.10921084880828857,0.24180978107226733,75.708219606,59.612291877
40,training,0.08575429,0.29266542196273804,0.24180978107226733,75.708219606,59.612291877
41,training,0.110514045,0.4080847203731537,0.2529475797404427,75.6971901466,59.7293446875
42,training,0.14969125,0.473270058631897,0.2529475797404427,75.6971901466,59.7293446875
43,training,0.1833244,0.5194503366947174,0.2529475797404427,75.6971901466,59.7293446875
44,training,0.111933365,0.5947520285844803,0.2529475797404427,75.6971901466,59.7293446875
45,training,0.12397445,0.42733588069677353,0.2529475797404427,75.6971901466,59.7293446875
46,training,0.22796847,0.2808682471513748,0.2293685880217998,75.7207647134,59.9381078622
47,training,0.28873742,0.365779634565115,0.2293685880217998,75.7207647134,59.9381078622
48,training,0.09496579,0.4467812040820718,0.2293685880217998,75.7207647134,59.9381078622
49,training,0.08873837,0.5022289613261819,0.2293685880217998,75.7207647134,59.9381078622
50,training,0.16977969,0.6576359421014786,0.2293685880217998,75.7207647134,59.9381078622
51,training,0.19013676,0.6762332767248154,0.2293685880217998,75.7207647134,59.9381078622
52,training,0.11900808,0.646250456571579,0.07167878805790438,75.7715235562,60.1687749119
53,training,0.31198904,0.6782183051109314,0.07167878805790438,75.7715235562,60.1687749119
54,training,0.24561298,0.6791578084230423,0.07167878805790438,75.7715235562,60.1687749119
55,training,0.192055,0.6436109095811844,0.07167878805790438,75.7715235562,60.1687749119
56,training,0.2571851,0.6023357659578323,0.07167878805790438,75.7715235562,60.1687749119
57,training,0.2531811,0.5158986672759056,0.07167878805790438,75.7715235562,60.1687749119
58,training,0.30716333,0.3007512427866459,0.08706967328169705,75.7870711588,60.4235160339
59,training,0.06286496,0.20102909952402115,0.08706967328169705,75.7870711588,60.4235160339
60,training,0.20885625,0.20920271426439285,0.08706967328169705,75.7870711588,60.4235160339
61,training,0.06746576,0.2524064052850008,0.08706967328169705,75.7870711588,60.4235160339
62,training,0.07917286,0.24247106071561575,0.08706967328169705,75.7870711588,60.4235160339
63,training,0.18368238,0.24355390667915344,0.08706967328169705,75.7870711588,60.4235160339
64,training,0.24075086,0.251830130815506,0.0730129565803554,75.7727048494,60.6552288276
65,training,0.0993702,0.16179980570450425,0.0730129565803554,75.7727048494,60.6552288276
66,training,0.13213071,0.08384287543594837,0.0730129565803554,75.7727048494,60.6552288276
67,training,0.09896355,0.11456631403416395,0.0730129565803554,75.7727048494,60.6552288276
68,training,0.21916199,0.27177077904343605,0.0730129565803554,75.7727048494,60.6552288276
69,training,0.06948153,0.23936918564140797,0.0730129565803554,75.7727048494,60.6552288276
70,training,0.13205516,0.115938575938344,0.060161234962586276,75.7596860001,60.8810708633
71,training,0.055404298,0.057190715335309505,0.060161234962586276,75.7596860001,60.8810708633
72,training,0.15380105,0.05116020143032074,0.060161234962586276,75.7596860001,60.8810708633
73,training,0.0796465,0.16350376792252064,0.060161234962586276,75.7596860001,60.8810708633
74,training,0.1365425,0.1656093019992113,0.060161234962586276,75.7596860001,60.8810708633
75,training,0.13320987,0.09902717918157578,0.060161234962586276,75.7596860001,60.8810708633
76,training,0.04001589,0.03682138770818711,0.04322724699675969,75.7427339533,61.1050338202
77,training,0.11728431,0.03381917439401149,0.04322724699675969,75.7427339533,61.1050338202
78,training,0.062060893,0.005269575864076614,0.04322724699675969,75.7427339533,61.1050338202
79,training,0.092131905,0.12986023537814617,0.04322724699675969,75.7427339533,61.1050338202
80,training,0.065855384,0.13268182426691055,0.04322724699675969,75.7427339533,61.1050338202
81,training,0.088595666,0.01799896452575922,0.04322724699675969,75.7427339533,61.1050338202
82,training,0.10458298,0.10929977707564831,0.038290833647604,75.7373786427,61.3818270481
83,training,0.12972851,0.0012103021144866943,0.038290833647604,75.7373786427,61.3818270481
84,training,0.04387902,0.19133402779698372,0.038290833647604,75.7373786427,61.3818270481
85,training,0.02431655,0.11281730234622955,0.038290833647604,75.7373786427,61.3818270481
86,training,0.02356918,0.04694858938455582,0.038290833647604,75.7373786427,61.3818270481
87,training,0.13392882,0.01681114360690117,0.038290833647604,75.7373786427,61.3818270481
88,training,0.059616517,0.09781771525740623,0.04062776231520014,75.7401274002,61.6048782486
89,training,0.037057348,0.013470374979078773,0.04062776231520014,75.7401274002,61.6048782486
90,training,0.027782025,0.03507686406373978,0.04062776231520014,75.7401274002,61.6048782486
91,training,0.13302574,0.013823404908180237,0.04062776231520014,75.7401274002,61.6048782486
92,training,0.05987318,0.08704054541885853,0.04062776231520014,75.7401274002,61.6048782486
93,training,0.026580708,0.09582502208650112,0.04062776231520014,75.7401274002,61.6048782486
94,training,0.010136023,0.05533338990062475,0.03459407043150566,75.7340026788,61.8421350535
95,training,0.12649384,0.014922358095645905,0.03459407043150566,75.7340026788,61.8421350535
96,training,0.014863971,0.059205885976552956,0.03459407043150566,75.7340026788,61.8421350535
97,training,0.04231376,0.05090620927512646,0.03459407043150566,75.7340026788,61.8421350535
98,training,0.05999435,0.0029173903167247772,0.03459407043150566,75.7340026788,61.8421350535
99,training,0.05446442,0.06437484174966812,0.03931371596684441,75.7379045024,62.0339491812
100,training,0.010181639,0.022577593103051186,0.03931371596684441,75.7379045024,62.0339491812
101,training,0.0172721,0.13919265195727348,0.03931371596684441,75.7379045024,62.0339491812
102,training,0.059645314,0.059899069368839264,0.03931371596684441,75.7379045024,62.0339491812
103,training,0.06724195,0.041926827281713486,0.03931371596684441,75.7379045024,62.0339491812
104,training,0.01279592,0.0715120080858469,0.03931371596684441,75.7379045024,62.0339491812
105,training,0.00965205,0.033068555407226086,0.03573616521640235,75.735730876,62.2478164274
106,training,0.022733219,0.006257306784391403,0.03573616521640235,75.735730876,62.2478164274
107,training,0.0049641547,0.0002598017454147408,0.03573616521640235,75.735730876,62.2478164274
108,training,0.009662686,0.10516976937651634,0.03573616521640235,75.735730876,62.2478164274
109,training,0.012298107,0.1453866958618164,0.03573616521640235,75.735730876,62.2478164274
110,training,0.03559398,0.05335397832095623,0.03573616521640235,75.735730876,62.2478164274
111,training,0.03372684,0.04450347274541855,0.03438101399487643,75.7343311383,62.4966336721
112,training,0.04966435,0.11836010962724686,0.03438101399487643,75.7343311383,62.4966336721
113,training,0.010839306,0.028720352798700347,0.03438101399487643,75.7343311383,62.4966336721
114,training,0.034574892,0.06645574420690536,0.03438101399487643,75.7343311383,62.4966336721
115,training,0.009927745,0.004981033504009233,0.03438101399487643,75.7343311383,62.4966336721
116,training,0.0520238,0.06174744106829166,0.03438101399487643,75.7343311383,62.4966336721
117,training,0.0386023,0.08692012261599302,0.03512020182806773,75.7350874934,62.7250616557
118,training,0.013752957,0.11103911325335503,0.03512020182806773,75.7350874934,62.7250616557
119,training,0.012796267,0.04919397924095392,0.03512020182806773,75.7350874934,62.7250616557
120,training,0.0013645098,0.028608005493879318,0.03512020182806773,75.7350874934,62.7250616557
121,training,0.00048775985,0.03329087793827058,0.03512020182806773,75.7350874934,62.7250616557
122,training,0.051200263,0.07614651322364807,0.03422722349283824,75.7341946612,62.925038554
123,training,0.012177389,0.07151434570550919,0.03422722349283824,75.7341946612,62.925038554
124,training,0.04271269,0.1335861161351204,0.03422722349283824,75.7341946612,62.925038554
125,training,0.018739797,0.09023194946348667,0.03422722349283824,75.7341946612,62.925038554
126,training,0.0021907683,0.0010623708367347579,0.03422722349283824,75.7341946612,62.925038554
127,training,0.01910975,0.05040978267788887,0.03737821444124175,75.7360515924,63.1136370059
128,training,0.048069943,0.13902806863188744,0.03737821444124175,75.7360515924,63.1136370059
129,training,0.019444903,0.09471502341330051,0.03737821444124175,75.7360515924,63.1136370059
130,training,0.0304993,0.00788306444883348,0.03737821444124175,75.7360515924,63.1136370059
131,training,0.0035921887,0.017361342906951904,0.03737821444124175,75.7360515924,63.1136370059
132,training,0.003964694,0.13490160182118416,0.03737821444124175,75.7360515924,63.1136370059
133,training,0.030251008,0.10049732774496078,0.03958471751960358,75.7395092715,63.3509789894
134,training,0.006928205,0.006014939397573478,0.03958471751960358,75.7395092715,63.3509789894
135,training,0.0023369573,0.05973120592534542,0.03958471751960358,75.7395092715,63.3509789894
136,training,0.037773818,0.09669213742017746,0.03958471751960358,75.7395092715,63.3509789894
137,training,0.0014362232,0.01493094488978386,0.03958471751960358,75.7395092715,63.3509789894
138,training,0.019416098,0.03903134912252426,0.046936642350451654,75.7455827976,63.559710145
139,training,0.017105531,0.03331520967185497,0.046936642350451654,75.7455827976,63.559710145
140,training,0.009528627,0.08568191155791283,0.046936642350451654,75.7455827976,63.559710145
141,training,0.026265189,0.03936981502920389,0.046936642350451654,75.7455827976,63.559710145
142,training,0.017710488,0.026770543307065964,0.046936642350451654,75.7455827976,63.559710145
143,training,0.004451262,0.058213844895362854,0.046936642350451654,75.7455827976,63.559710145
144,training,0.03743668,0.09537813812494278,0.047238808711557424,75.7471407243,63.801577764
145,training,0.026871637,0.09883627574890852,0.047238808711557424,75.7471407243,63.801577764
146,training,0.010265866,0.0034271329641342163,0.047238808711557424,75.7471407243,63.801577764
147,training,0.006952825,0.009074877947568897,0.047238808711557424,75.7471407243,63.801577764
148,training,0.018613875,0.08689655922353268,0.047238808711557424,75.7471407243,63.801577764
149,training,0.017418684,0.09202924557030201,0.047238808711557424,75.7471407243,63.801577764
150,training,0.0038985978,0.03535113297402859,0.04145154253159102,75.7406905277,64.0655982253
151,training,0.030838741,0.16140097379684443,0.04145154253159102,75.7406905277,64.0655982253
152,training,0.003309244,0.1522478014230728,0.04145154253159102,75.7406905277,64.0655982253
153,training,0.006599166,0.18986321613192556,0.04145154253159102,75.7406905277,64.0655982253
