step,mode,loss,angle_error(rad),distance(m),x(m),y(m)
1,training,0.09228458,0.28142754733562475,0.0,-10.8685286411,-16.7298770449
2,training,0.07920152,0.25500015169382095,0.0,-10.8685286411,-16.7298770449
3,training,0.065042846,0.22657179087400436,0.0,-10.8685286411,-16.7298770449
4,training,0.050034087,0.1853509321808815,0.0,-10.8685286411,-16.7298770449
5,training,0.039776362,0.19751060009002686,0.0,-10.8685286411,-16.7298770449
6,training,0.03706802,0.26092061400413513,0.0,-10.8685286411,-16.7298770449
7,training,0.027807007,0.17480863630771637,0.0,-10.8685286411,-16.7298770449
8,training,0.022345018,0.16035589575767512,0.0,-10.6970747141,-16.671694359
9,training,0.012686981,0.07217642664909357,0.02313200838780344,-10.6970747141,-16.671694359
10,training,0.005733893,0.0026464462280273438,0.02313200838780344,-10.6970747141,-16.671694359
11,training,0.002724038,0.02640151977539057,0.02313200838780344,-10.6970747141,-16.671694359
12,training,0.0046079783,0.14074969291687012,0.02313200838780344,-10.6970747141,-16.671694359
13,training,0.007806483,0.17294006049633023,0.02313200838780344,-10.5326273132,-16.5957735648
14,training,0.009812328,0.31044384837150574,0.01710891639467438,-10.5326273132,-16.5957735648
15,training,0.029876735,0.3431788198649883,0.01710891639467438,-10.4508861601,-16.5381989337
16,training,0.031525977,0.2971314899623394,0.032065505204553466,-10.3798352559,-16.4632471287
17,training,0.010406515,0.23643730208277702,0.06944718634546362,-10.3798352559,-16.4632471287
18,training,0.050083425,0.1597168706357479,0.12877795773131345,-10.3119154787,-16.3666861252
19,training,0.014474461,0.2077140025794506,0.12877795773131345,-10.3119154787,-16.3666861252
20,training,0.0207589,0.532272070646286,0.12877795773131345,-10.3119154787,-16.3666861252
21,training,0.041992832,0.4042440950870514,0.12877795773131345,-10.3119154787,-16.3666861252
22,training,0.05799627,0.3812533840537071,0.12877795773131345,-10.1923077426,-16.159326875
23,training,0.06514283,0.8052842319011688,0.26606522775871283,-10.1923077426,-16.159326875
24,training,0.05197579,0.7927026003599167,0.26606522775871283,-10.1923077426,-16.159326875
25,training,0.10402945,0.6592335477471353,0.26606522775871283,-10.1923077426,-16.159326875
26,training,0.05258246,0.7095567211508751,0.32797754948317726,-10.1282307269,-16.0597292083
27,training,0.021813411,0.6306872963905334,0.32797754948317726,-10.1282307269,-16.0597292083
28,training,0.12924024,0.622555747628212,0.32797754948317726,-10.0673108642,-16.0092640509
29,training,0.049157623,0.5343745797872543,0.34733240260779696,-10.0673108642,-16.0092640509
30,training,0.090414815,0.5312383957207203,0.3467477669854722,-9.9879498518,-15.973518454
31,training,0.14842023,0.4295586943626404,0.3467477669854722,-9.9879498518,-15.973518454
