step,mode,loss,angle_error(rad),distance(m)
1,training,0.024364477,0.5987783372402191,0.0
2,training,0.34878582,0.12865154445171356,0.0
3,training,0.01372779,0.4727580174803734,0.0
4,training,0.17263877,0.5935118719935417,0.0
5,training,0.26770854,0.6229922771453857,0.0
6,training,0.17910531,0.2786398231983185,0.21768002889526458
7,training,0.088706344,0.2642397880554199,0.21768002889526458
8,training,0.15280789,0.07000446319580078,0.2806314210714663
9,training,0.18245412,0.016919374465942383,0.2806314210714663
10,training,0.1839323,0.20050787925720215,0.34605029008600774
11,training,0.23029831,0.08997762203216564,0.34605029008600774
12,training,0.09853727,0.03742939233779907,0.36368458536047144
13,training,0.08382928,0.030293434858322088,0.36368458536047144
14,training,0.11472416,0.0024971067905426025,0.36135671769096694
15,training,0.13819599,0.0456501841545105,0.36135671769096694
16,training,0.24382226,0.10029458999633789,0.36135671769096694
17,training,0.1388528,0.3248139061033726,0.3160591623091703
18,training,0.2575211,0.8287335245404392,0.3160591623091703
19,training,0.23407547,0.4947483967989683,0.3160591623091703
20,training,0.29024363,0.05099975317716598,0.3160591623091703
21,training,0.1772461,0.4789842814207077,0.2407675923852643
22,training,0.3229098,0.758314922451973,0.2407675923852643
23,training,0.24406007,0.6909925863146782,0.2407675923852643
24,training,0.37262148,0.4784349799156189,0.2407675923852643
25,training,0.2522365,0.2757587656378746,0.2407675923852643
26,training,0.16249013,0.0042859911918640275,0.17876383752927424
27,training,0.4272966,0.0924132876098156,0.17876383752927424
28,training,0.1687696,0.20216495543718338,0.17876383752927424
29,training,0.17462562,0.3416019678115845,0.17876383752927424
30,training,0.1527011,0.45647138357162476,0.17876383752927424
31,training,0.17013274,0.4963190332055092,0.11735849883273854
32,training,0.07709639,0.28818273544311523,0.11735849883273854
33,training,0.1819277,0.11767555412370713,0.11735849883273854
34,training,0.01629036,0.06815290451049805,0.11735849883273854
35,training,0.21819344,0.0855720266699791,0.11735849883273854
36,training,0.18288875,0.4242705926299095,0.0746484597671196
37,training,0.3599105,0.35509938187897205,0.0746484597671196
38,training,0.05701784,0.14272581948898733,0.0746484597671196
39,training,0.3917046,0.14189468510448933,0.0746484597671196
40,training,0.019714188,0.23593685775995255,0.0746484597671196
41,training,0.08923638,0.29707086086273193,0.052978937576642335
42,training,0.19963582,0.2724013328552246,0.052978937576642335
43,training,0.051989246,0.16774018108844757,0.052978937576642335
44,training,0.024553016,0.03440803289413452,0.052978937576642335
45,training,0.16696191,0.05890076979994773,0.026888426428668573
46,training,0.047837712,0.15333690494298935,0.026888426428668573
47,training,0.07682265,0.04572155699133873,0.026888426428668573
48,training,0.28316352,0.03162886202335358,0.026888426428668573
49,training,0.099211685,0.2653378611430526,0.01810347629407888
50,training,0.070761934,0.18408289551734924,0.01810347629407888
51,training,0.029110584,0.07423277385532856,0.01810347629407888
52,training,0.25548583,0.022389641031622887,0.01810347629407888
