step,mode,loss,angle_error(rad),distance(m),x(m),y(m)
1,training,0.1025242,0.30193348228931427,0.0,-10.8784350462,-16.7200414753
2,training,0.09116378,0.2802138589322567,0.0,-10.8784350462,-16.7200414753
3,training,0.078527644,0.2566647827625274,0.0,-10.8784350462,-16.7200414753
4,training,0.06220653,0.2017077803611756,0.0,-10.8784350462,-16.7200414753
5,training,0.04890681,0.17758692055940634,0.0,-10.8784350462,-16.7200414753
6,training,0.03964904,0.20533646643161768,0.0,-10.8784350462,-16.7200414753
7,training,0.029572098,0.14211326837539678,0.0,-10.8784350462,-16.7200414753
8,training,0.02487898,0.18486297130584717,0.022699107814466612,-10.7077451523,-16.6765916757
9,training,0.019646943,0.1605673730373382,0.022699107814466612,-10.7077451523,-16.6765916757
10,training,0.010756029,0.048574939370155334,0.022699107814466612,-10.7077451523,-16.6765916757
11,training,0.0058027487,0.016354843974113492,0.022699107814466612,-10.7077451523,-16.6765916757
12,training,0.0036200585,0.059481069445610074,0.022699107814466612,-10.7077451523,-16.6765916757
13,training,0.0021770264,0.06676444411277771,0.022699107814466612,-10.5486445621,-16.6092884722
14,training,0.0029364864,0.14631401002407077,0.010468227654412498,-10.5486445621,-16.6092884722
15,training,0.0142481215,0.31333791837096214,0.010468227654412498,-10.5486445621,-16.6092884722
16,training,0.05703749,0.3573447586968541,0.010468227654412498,-10.4317372182,-16.5316512862
17,training,0.030753134,0.3168765716254711,0.029037783464573568,-10.4317372182,-16.5316512862
18,training,0.02196799,0.24869174882769585,0.029037783464573568,-10.3575827441,-16.4515045119
19,training,0.07816403,0.19562217220664024,0.07097248183101605,-10.3575827441,-16.4515045119
20,training,0.030032782,0.15694009885191917,0.07097248183101605,-10.3575827441,-16.4515045119
21,training,0.049864944,0.21440911293029785,0.07097248183101605,-10.2730949572,-16.3254541802
22,training,0.04172687,0.17706914246082306,0.1501072225930434,-10.2730949572,-16.3254541802
23,training,0.030159134,0.2694520056247711,0.1501072225930434,-10.2730949572,-16.3254541802
24,training,0.059208706,0.26354406774044037,0.1501072225930434,-10.2730949572,-16.3254541802
25,training,0.055845015,0.48085032403469086,0.1501072225930434,-10.2730949572,-16.3254541802
26,training,0.06817924,0.5660128705203533,0.1501072225930434,-10.2730949572,-16.3254541802
27,training,0.078408286,0.5594025664031506,0.1501072225930434,-10.2730949572,-16.3254541802
28,training,0.06363308,0.7469228319823743,0.26946822851386987,-10.1367106705,-16.1290789646
29,training,0.049699314,0.7410753704607488,0.26946822851386987,-10.1367106705,-16.1290789646
30,training,0.19669086,0.5932203568518162,0.3191147400714828,-10.0932768624,-16.0526500761
31,training,0.033732973,0.5713994391262531,0.3191147400714828,-10.0932768624,-16.0526500761
32,training,0.067471504,0.5627334453165531,0.33279667074815467,-10.0319241284,-16.0091167648
33,training,0.114248216,0.41238095983862877,0.33279667074815467,-10.0319241284,-16.0091167648
34,training,0.118036635,0.31410768348723644,0.3347262476606117,-9.95659513328,-15.9736887101
35,training,0.11915466,0.2311660274863243,0.3347262476606117,-9.95659513328,-15.9736887101
36,training,0.13014644,0.2352953627705574,0.3347262476606117,-9.95659513328,-15.9736887101
37,training,0.041567408,0.1186190666630864,0.3347262476606117,-9.7968663737,-15.9674890675
38,training,0.12498686,0.037307037971913815,0.2839632904354559,-9.7968663737,-15.9674890675
39,training,0.1050569,0.020372074097394943,0.2839632904354559,-9.7968663737,-15.9674890675
40,training,0.056509312,0.10313550010323524,0.2839632904354559,-9.7968663737,-15.9674890675
