step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.08258965,0.27696690894663334,0.0,0.0,0.0,0.0
2,training,0.07671392,0.264176482334733,0.0,0.0,0.0,0.0
3,training,0.076371394,0.2958214655518532,0.0,0.0,0.0,0.0
4,training,0.07533476,0.2831524834036827,0.0,0.0,0.0,0.0
5,training,0.068914376,0.2558031380176544,0.0,0.0,0.0,0.0
6,training,0.06042755,0.23503804206848145,0.0,0.0,0.0,0.0
7,training,0.056589007,0.257058210670948,0.0,0.0,0.0,0.0
8,training,0.05141768,0.2571623325347901,0.021074083951077013,0.0,0.0,0.0
9,training,0.043600902,0.244496077299118,0.021074083951077013,0.0,0.0,0.0
10,training,0.035735063,0.16053622961044312,0.021074083951077013,0.0,0.0,0.0
11,training,0.030139089,0.22252862155437475,0.021074083951077013,0.0,0.0,0.0
12,training,0.022484988,0.1101680994033814,0.021074083951077013,0.0,0.0,0.0
13,training,0.02058584,0.07624456286430353,0.021074083951077013,0.0,0.0,0.0
14,training,0.016000815,0.006583541631698636,0.025837583077745682,0.0,0.0,0.0
15,training,0.009243756,0.043519988656044006,0.025837583077745682,0.0,0.0,0.0
16,training,0.0069079497,0.06583815813064572,0.025837583077745682,0.0,0.0,0.0
17,training,0.0055453326,0.14418964087963104,0.025837583077745682,0.0,0.0,0.0
18,training,0.005459711,0.16741043329238892,0.025837583077745682,0.0,0.0,0.0
19,training,0.0055517657,0.29448690079152584,0.020082610847361623,0.0,0.0,0.0
20,training,0.008604424,0.36295126006007195,0.020082610847361623,0.0,0.0,0.0
21,training,0.04137437,0.3566379966214299,0.020082610847361623,0.0,0.0,0.0
22,training,0.09260331,0.26541693136096,0.020082610847361623,0.0,0.0,0.0
23,training,0.06648954,0.27088214084506035,0.022518211596800897,0.0,0.0,0.0
24,training,0.017543616,0.27890142798423767,0.022518211596800897,0.0,0.0,0.0
25,training,0.010901951,0.2391977161169052,0.022518211596800897,0.0,0.0,0.0
26,training,0.030879438,0.2568824887275696,0.022518211596800897,0.0,0.0,0.0
27,training,0.019828804,0.3244154155254364,0.022518211596800897,0.0,0.0,0.0
28,training,0.031414956,0.2974196970462799,0.09333805294857127,0.0,0.0,0.0
29,training,0.04902724,0.31982263922691345,0.09333805294857127,0.0,0.0,0.0
30,training,0.04576286,0.3214915245771408,0.09333805294857127,0.0,0.0,0.0
31,training,0.034537062,0.31025704741477966,0.09333805294857127,0.0,0.0,0.0
32,training,0.07487269,0.32231737673282623,0.09333805294857127,0.0,0.0,0.0
33,training,0.040776204,0.31775710731744766,0.09333805294857127,0.0,0.0,0.0
34,training,0.038829856,0.31555868685245514,0.22978720757481008,0.0,0.0,0.0
35,training,0.101201385,0.624985471367836,0.22978720757481008,0.0,0.0,0.0
36,training,0.029276121,0.6820152848958969,0.22978720757481008,0.0,0.0,0.0
37,training,0.099629536,0.8347344845533371,0.22978720757481008,0.0,0.0,0.0
38,training,0.04155615,0.7922108694911004,0.31957800049560886,0.0,0.0,0.0
39,training,0.06939371,0.6858933493494986,0.31957800049560886,0.0,0.0,0.0
40,training,0.056361772,0.06408153474330902,0.3463002592336157,0.0,0.0,0.0
41,training,0.037917778,0.0547177828848362,0.3463002592336157,0.0,0.0,0.0
42,training,0.031932577,0.04898064583539963,0.3463002592336157,0.0,0.0,0.0
43,training,0.051538818,0.03911678493022919,0.3463002592336157,0.0,0.0,0.0
44,training,0.13295305,0.028109729290008545,0.3463002592336157,0.0,0.0,0.0
45,training,0.04212108,0.018345952033996582,0.3463002592336157,0.0,0.0,0.0
46,training,0.09733884,0.3270385037176311,0.07016803053368037,0.0,0.0,0.0
47,training,0.038762413,0.3341223215684294,0.07016803053368037,0.0,0.0,0.0
48,training,0.029047746,0.5185755677521229,0.07016803053368037,0.0,0.0,0.0
49,training,0.15084627,0.474212909117341,0.07016803053368037,0.0,0.0,0.0
50,training,0.03427938,0.3967388160526753,0.13933475777035456,0.0,0.0,0.0
51,training,0.062069632,0.2893707668408752,0.13933475777035456,0.0,0.0,0.0
52,training,0.046997964,0.21208872273564336,0.13933475777035456,0.0,0.0,0.0
53,training,0.03361871,0.14692202769219875,0.18435917599128993,0.0,0.0,0.0
54,training,0.035822004,0.2215636088512838,0.18435917599128993,0.0,0.0,0.0
55,training,0.07894263,0.14237332623451948,0.18435917599128993,0.0,0.0,0.0
56,training,0.10054092,0.10471646673977375,0.18435917599128993,0.0,0.0,0.0
57,training,0.04068294,0.029675276950001717,0.18435917599128993,0.0,0.0,0.0
58,training,0.04902228,0.009426347911357883,0.18435917599128993,0.0,0.0,0.0
59,training,0.061650462,0.06494282558560371,0.1914409713019334,0.0,0.0,0.0
60,training,0.090175,0.037266869097948074,0.1914409713019334,0.0,0.0,0.0
61,training,0.08964579,0.013906564563512802,0.1914409713019334,0.0,0.0,0.0
62,training,0.044076584,0.1006396021693945,0.1914409713019334,0.0,0.0,0.0
63,training,0.04927959,0.12352198362350464,0.1914409713019334,0.0,0.0,0.0
64,training,0.09721649,0.12557461857795715,0.1914409713019334,0.0,0.0,0.0
65,training,0.060758706,0.08059883862733841,0.14010629716013281,0.0,0.0,0.0
66,training,0.072987586,0.074954092502594,0.14010629716013281,0.0,0.0,0.0
67,training,0.027288344,0.1749080866575241,0.14010629716013281,0.0,0.0,0.0
68,training,0.056306116,0.14108345657587051,0.14010629716013281,0.0,0.0,0.0
69,training,0.036298323,0.12406822666525842,0.14010629716013281,0.0,0.0,0.0
70,training,0.10248474,0.1126363016664982,0.14010629716013281,0.0,0.0,0.0
71,training,0.049334805,0.11184626445174217,0.07052959638476201,0.0,0.0,0.0
72,training,0.05923228,0.14543589763343334,0.07052959638476201,0.0,0.0,0.0
73,training,0.06105656,0.1179117290303111,0.07052959638476201,0.0,0.0,0.0
74,training,0.05559454,0.10381060745567083,0.07052959638476201,0.0,0.0,0.0
75,training,0.05232397,0.06884846743196249,0.07052959638476201,0.0,0.0,0.0
