step,mode,loss,angle_error(rad),distance(m)
1,training,0.048993044,0.6553657352924347,0.0
2,training,0.37063253,0.1228632926940918,0.0
3,training,0.061725106,0.16448548436164856,0.0
4,training,0.06046841,0.00763028860092152,0.0
5,training,0.08387442,0.15371191501617432,0.0
6,training,0.12511954,0.022444486618041992,0.19639524351985427
7,training,0.2709017,1.0308664254844189,0.2921439568964651
8,training,0.39327484,0.9905394315719604,0.2921439568964651
9,training,0.30712473,0.47908681631088257,0.41185788554446545
10,training,0.11971655,0.14886897802352905,0.44948055865745284
11,training,0.18300343,0.05527639389038086,0.46120706763424957
12,training,0.16365427,0.23807209730148315,0.46120706763424957
13,training,0.26727068,0.19907832145690918,0.46946001169331547
14,training,0.34714508,0.22859440743923187,0.4321113260845615
15,training,0.3852956,0.15913372114300728,0.4321113260845615
16,training,0.12650941,0.44512125849723816,0.4321113260845615
17,training,0.16249424,0.38607093691825867,0.4321113260845615
18,training,0.20916387,0.2640753649175167,0.4321113260845615
19,training,0.12863247,0.8719290196895599,0.4321113260845615
20,training,0.15340495,0.8437192738056183,0.2696480935975451
21,training,0.120926,0.8157861828804016,0.2696480935975451
22,training,0.55132556,0.9328883290290833,0.2696480935975451
23,training,0.24075869,0.17189534008502963,0.2696480935975451
24,training,0.189848,0.4023868590593338,0.16911427888136557
25,training,0.21460012,0.45885180681943893,0.16911427888136557
26,training,0.32952765,0.38200967013835907,0.16911427888136557
27,training,0.3699147,0.06631459295749664,0.16911427888136557
28,training,0.27667117,0.05816320329904558,0.16911427888136557
29,training,0.22405511,0.17079263180494308,0.09373875862467125
30,training,0.23058733,0.05544634256511925,0.09373875862467125
31,training,0.11342022,0.8264244496822357,0.09373875862467125
32,training,0.035822734,1.0289288945496082,0.09373875862467125
33,training,0.41930023,0.7371557727456093,0.04510049388064409
34,training,0.19324428,0.058779625222086906,0.04510049388064409
35,training,0.2671328,0.27005482465028763,0.04510049388064409
36,training,0.6157104,0.5169560983777046,0.04510049388064409
37,training,0.29949188,0.25525131076574326,0.04510049388064409
38,training,0.15944879,0.19359523057937622,0.02091392118545108
39,training,0.13546807,0.4341386668384075,0.02091392118545108
40,training,0.20786035,0.05368032120168209,0.02091392118545108
41,training,0.22166269,0.30159267596900463,0.02091392118545108
42,training,0.18886232,0.03529069456271827,0.02091392118545108
43,training,0.29370433,0.19471923261880875,0.007158545783969261
44,training,0.029169682,0.23125611059367657,0.007158545783969261
45,training,0.053480644,0.25570552237331867,0.007158545783969261
46,training,0.21576753,0.18319354765117168,0.007158545783969261
47,training,0.2506344,0.14335867576301098,0.0018379891507215944
48,training,0.09607427,0.22197026712819934,0.0018379891507215944
49,training,0.11422461,0.32057620864361525,0.0018379891507215944
50,training,0.18913573,0.024008999578654766,0.0018379891507215944
51,training,0.06293473,0.014208243228495121,0.0018379891507215944
52,training,0.20954925,0.05377619341015816,0.007913482380316555
53,training,0.068033814,0.06931103765964508,0.007913482380316555
54,training,0.15457919,0.08335809782147408,0.007913482380316555
55,training,0.09526405,0.35986805334687233,0.007913482380316555
56,training,0.080794364,0.3433125838637352,0.007913482380316555
57,training,0.10556069,0.27243198826909065,0.011666938532101758
58,training,0.04232709,0.08606117032468319,0.011666938532101758
59,training,0.014498908,0.03111964277923107,0.011666938532101758
60,training,0.07894324,0.1659911503084004,0.011666938532101758
61,training,0.05840221,0.015483973547816277,0.02641939293306329
62,training,0.023832677,0.2098773350007832,0.02641939293306329
63,training,0.029052291,0.12665822415146977,0.02641939293306329
64,training,0.035617538,0.0002913400530815116,0.02641939293306329
65,training,0.030948818,0.004827694967389105,0.02641939293306329
66,training,0.011487734,0.10298842377960682,0.028307777071600808
67,training,0.11818299,0.04729858925566077,0.028307777071600808
68,training,0.065921776,0.02184347901493311,0.028307777071600808
69,training,0.02673332,0.03601059876382351,0.028307777071600808
70,training,0.06184781,0.10527353989891708,0.028307777071600808
71,training,0.031013047,0.023503162898123264,0.013564432061152699
72,training,0.004326868,0.1373805981129408,0.013564432061152699
73,training,0.003841396,0.099747349973768,0.013564432061152699
74,training,0.026189296,0.0034179399954155087,0.013564432061152699
75,training,0.012943814,0.49604496359825134,0.005801960849965129
76,training,0.16169837,0.19147607451304793,0.005801960849965129
77,training,0.0464059,0.21555818850174546,0.005801960849965129
78,training,0.028907537,0.35654177027754486,0.005801960849965129
79,training,0.0063712965,0.41323864459991455,0.005801960849965129
80,training,0.019974684,0.2100153136998415,0.011334579412863007
81,training,0.00988045,0.14035248523578048,0.011334579412863007
82,training,0.089786895,0.05927953269565478,0.011334579412863007
83,training,0.09730786,0.12904182262718678,0.011334579412863007
84,training,0.004868147,0.07617577724158764,0.011334579412863007
85,training,0.01872909,0.016045910771936178,0.014083743178079134
86,training,0.021486383,0.05030591040849686,0.014083743178079134
87,training,0.010406421,0.033291821484453976,0.014083743178079134
88,training,0.026721863,0.008190627209842205,0.014083743178079134
89,training,0.001881072,0.06800270080566406,0.01776764751415306
90,training,0.01138697,0.05191473476588726,0.01776764751415306
91,training,0.008225895,0.11370592820458114,0.01776764751415306
92,training,0.010356322,0.0383757702074945,0.01776764751415306
93,training,0.0072382353,0.06244198000058532,0.013239791912514396
94,training,0.022527352,0.2520887851715088,0.013239791912514396
