step,mode,loss,angle_error(rad),distance(m)
1,training,0.056526843,0.20283552631735802,0.0
2,training,0.026036605,0.06819489598274231,0.0
3,training,0.014793805,0.06691288948059079,0.0
4,training,0.00645815,0.035303369164466844,0.0
5,training,0.0029536695,0.048650443553924554,0.0
6,training,0.014390257,0.04772737622261049,0.0
7,training,0.0056765466,0.06787226349115372,0.05817412144063002
8,training,0.022862768,0.2151479832828045,0.05817412144063002
9,training,0.043413315,0.2712362352758646,0.05817412144063002
10,training,0.02644419,0.22266152873635292,0.05817412144063002
11,training,0.034924254,0.15135645121335983,0.05817412144063002
12,training,0.01733243,0.04614861821755767,0.05042227097539529
13,training,0.01668746,0.038254837272688746,0.05042227097539529
14,training,0.031612165,0.04307374800555409,0.05042227097539529
15,training,0.03201808,0.05239060614258051,0.05042227097539529
16,training,0.02137867,0.06240404397249222,0.05042227097539529
17,training,0.014649233,0.04455849062651396,0.04214259129604939
18,training,0.024453346,0.02924971003085375,0.04214259129604939
19,training,0.012059157,0.009188435971736908,0.04214259129604939
20,training,0.006256193,0.03825804591178894,0.04214259129604939
21,training,0.017481979,0.04916283488273621,0.010561727506677401
22,training,0.012354726,0.03301744582131505,0.010561727506677401
23,training,0.016858391,0.03349177539348602,0.010561727506677401
24,training,0.005072444,0.01094247214496136,0.010561727506677401
25,training,0.007737104,0.011477739317342639,0.010561727506677401
26,training,0.0030282042,0.030230659991502762,0.016990311586229684
27,training,0.007868507,0.018857304472476247,0.016990311586229684
28,training,0.0042742863,0.013804489746689796,0.016990311586229684
29,training,0.0027603481,0.003836857154965399,0.016990311586229684
30,training,0.0025981572,0.0007817670702934265,0.016990311586229684
31,training,0.0021042095,0.006675050361081958,0.02101107287120503
32,training,0.0012300495,0.061748770996928215,0.02101107287120503
33,training,0.000734346,0.05797317437827587,0.02101107287120503
34,training,0.0039431527,0.044152798131108284,0.02101107287120503
35,training,0.0012526247,0.03400922566652298,0.02101107287120503
36,training,0.00075558363,0.03264296427369118,0.013983260412742763
37,training,0.0005010573,0.012716385535895824,0.013983260412742763
38,training,0.00025965684,0.002695687115192415,0.013983260412742763
39,training,0.00042404135,0.0006120968610048294,0.013983260412742763
40,training,0.0008246965,0.021998802665621042,0.006315249383512116
41,training,0.0003258623,0.01928889751434326,0.006315249383512116
42,training,0.00062760036,0.025371750816702843,0.006315249383512116
43,training,0.00024818743,0.020405108109116554,0.006315249383512116
44,training,0.00017257468,0.006969301030039787,0.006315249383512116
45,training,0.00032928248,0.01845677150413394,0.014152206925756888
46,training,0.00017823029,0.05123748630285263,0.014152206925756888
47,training,0.0005598941,0.042521956376731396,0.014152206925756888
48,training,0.0010477605,0.025648636044934395,0.014152206925756888
49,training,0.00020437727,0.0046503436751663685,0.014152206925756888
50,training,0.00038002076,0.015457261819392443,0.008945278825049129
