step,mode,loss,angle_error(rad),distance(m)
1,training,0.024364155,0.6833460777997971,0.0
2,training,0.46697435,0.15332947671413422,0.0
3,training,0.023480743,0.5923156291246414,0.0
4,training,0.22726263,0.6460507661104202,0.0
5,training,0.29471064,0.6666724830865859,0.0
6,training,0.19425297,0.34569036960601807,0.18578521190658567
7,training,0.12057907,0.2886464595794678,0.25570956653882215
8,training,0.16863684,0.009766697883605957,0.25570956653882215
9,training,0.28244102,0.11555504798889138,0.31526981254612296
10,training,0.36468166,0.17004966735839833,0.3390745378999563
11,training,0.22152917,0.0050980448722838245,0.3474840468563511
12,training,0.12755068,0.03250283002853399,0.36112263813619655
13,training,0.07541189,0.08929836750030512,0.36112263813619655
14,training,0.13110766,0.07228510081768036,0.35029368106068404
15,training,0.1496834,0.2711363364942372,0.35029368106068404
16,training,0.15857585,0.7228138875216246,0.35029368106068404
17,training,0.31663072,0.7541240733116865,0.35029368106068404
18,training,0.22648637,0.12196338549256325,0.35029368106068404
19,training,0.15628639,0.058396744541823864,0.2629095097467628
20,training,0.16883974,0.5684472471475601,0.2629095097467628
21,training,0.2188192,0.4166090041399002,0.2629095097467628
22,training,0.11783373,0.21008365601301193,0.2629095097467628
23,training,0.12019503,0.017903164029121385,0.18896674892948456
24,training,0.2836436,0.14259544014930725,0.18896674892948456
25,training,0.15227981,0.33189857006073,0.18896674892948456
26,training,0.2275867,0.5979297384619713,0.18896674892948456
27,training,0.26247928,0.5197314918041229,0.18896674892948456
28,training,0.17972592,0.388464093208313,0.12448807887263537
29,training,0.19097719,0.15228544175624847,0.12448807887263537
30,training,0.04236684,0.028229087591171265,0.12448807887263537
31,training,0.33114696,0.12770435214042664,0.12448807887263537
32,training,0.08631606,0.1675870344042778,0.12448807887263537
33,training,0.41923404,0.09808760136365889,0.08748498620543758
34,training,0.35098284,0.0022213496267795563,0.08748498620543758
35,training,0.3266799,0.5029229130595922,0.08748498620543758
36,training,0.21884058,0.38502568658441305,0.08748498620543758
37,training,0.2785219,0.010524972341954708,0.08748498620543758
38,training,0.19369349,0.0041832290589809435,0.07083900511668334
39,training,0.08401771,0.00799162546172738,0.07083900511668334
40,training,0.049156386,0.15946765430271626,0.07083900511668334
41,training,0.14496046,0.21259079687297344,0.07083900511668334
42,training,0.11535567,0.021255270577967167,0.07083900511668334
43,training,0.032157924,0.10330570116639137,0.04694295115009907
44,training,0.115569144,0.20256660133600235,0.04694295115009907
45,training,0.09402295,0.15690725296735764,0.04694295115009907
46,training,0.20245552,0.035639598965644836,0.04694295115009907
47,training,0.13849851,0.11960595846176147,0.020185880009201112
48,training,0.0977121,0.1897173598408699,0.020185880009201112
49,training,0.16707014,0.02054357528686523,0.020185880009201112
50,training,0.012774963,0.031013915315270424,0.020185880009201112
51,training,0.060129285,0.05559981428086758,0.02353524392221242
52,training,0.007193354,0.021571772638708353,0.02353524392221242
53,training,0.027892005,0.006895149592310191,0.02353524392221242
54,training,0.021883707,0.019939235411584377,0.02353524392221242
55,training,0.010682223,0.03114080149680376,0.02353524392221242
56,training,0.042205438,0.00031126290559768677,0.03767330506133372
57,training,0.015758447,0.030346468091011047,0.03767330506133372
58,training,0.0373649,0.07130827009677887,0.03767330506133372
59,training,0.0018258933,0.11257845535874367,0.24693575442336954
60,training,0.034093037,0.08084761444479227,0.24693575442336954
61,training,0.008631837,0.032897280529141426,0.24693575442336954
62,training,0.007776394,0.0038385139778256416,0.24693575442336954
63,training,0.0038802668,0.1304074004292488,0.24693575442336954
64,training,0.006264291,0.06554404087364674,0.4872932195358918
65,training,0.012226156,0.12694935128092766,0.4872932195358918
66,training,0.027443584,0.12515168264508247,0.4872932195358918
67,training,0.007838855,0.2719704173505306,0.4872932195358918
68,training,0.0062119896,0.036368836867040955,0.4872932195358918
69,training,0.0030135077,0.32190096750855446,0.7819278350798461
70,training,0.005729904,0.26345837116241455,0.7819278350798461
71,training,0.024155289,0.37978003546595573,0.7819278350798461
72,training,0.025642391,0.5252023488283157,0.7819278350798461
73,training,0.0037993214,0.9908205270767212,0.9894023164253274
74,training,0.019140245,1.0313587188720703,0.9894023164253274
75,training,0.28663215,1.0849697440862656,1.11682703522965
76,training,0.037784316,0.9302218332886696,1.11682703522965
77,training,0.030495867,1.1411832496523857,1.1903672961837204
78,training,0.14135759,1.0067737735807896,0.07982784929141502
79,training,0.035144415,1.2675226926803589,0.10288953522705874
80,training,0.02796594,1.2201594114303589,0.1045441231050542
81,training,0.13654375,1.1860653758049011,0.10573359696966586
82,training,0.24808154,0.7130350470542908,0.10573359696966586
83,training,0.01226737,0.4768675565719605,0.08265016858897381
84,training,0.016555082,0.10134605318307877,0.08265016858897381
85,training,0.056098465,0.028577670454978943,0.08265016858897381
86,training,0.02180517,0.15491992235183716,0.08265016858897381
87,training,0.042088494,0.26426470279693604,0.08265016858897381
88,training,0.4640984,0.11223073303699493,0.004089898663053303
89,training,0.11718073,0.11285316199064258,0.004089898663053303
90,training,0.037071154,0.24220483750104904,0.004089898663053303
91,training,0.04886435,0.29138851165771484,0.004089898663053303
92,training,0.16204186,0.12681290181353688,0.005094564995540689
93,training,0.0725334,0.13591834157705307,0.005094564995540689
94,training,0.07070646,0.2959221228957176,0.005094564995540689
95,training,0.034614205,0.4011489897966385,0.005094564995540689
96,training,0.055361904,0.020076096057891846,0.015988117620897604
97,training,0.017562196,0.16905977576971054,0.015988117620897604
98,training,0.055209063,0.11155784130096436,0.015988117620897604
99,training,0.32886344,0.3094494566321373,0.015988117620897604
100,training,0.050350357,0.02200510725378991,0.015988117620897604
101,training,0.14400129,0.012139223515987396,0.005491567372511976
102,training,0.03159587,0.25997769460082054,0.005491567372511976
103,training,0.17899676,0.08768172562122345,0.005491567372511976
104,training,0.050045624,0.08324004895985126,0.005491567372511976
105,training,0.02151002,0.17276624031364918,0.005491567372511976
106,training,0.040068347,0.06187021918594837,0.01409683873925837
107,training,0.06617533,0.21640496142208576,0.01409683873925837
108,training,0.013746288,0.012911698780953886,0.01409683873925837
109,training,0.2424461,0.02224758081138134,0.01409683873925837
110,training,0.015425949,0.08247825317084789,0.01409683873925837
111,training,0.13844639,0.0007548509165644646,0.012867428483033917
112,training,0.008983348,0.12720008753240108,0.012867428483033917
113,training,0.02121081,0.01682000234723091,0.012867428483033917
114,training,0.032746013,0.08376248739659786,0.012867428483033917
115,training,0.07893206,0.19166857236996293,0.012867428483033917
116,training,0.06262903,0.2103263414464891,0.008099365501306898
117,training,0.047854677,0.4680881127715111,0.008099365501306898
118,training,0.09894697,0.05670277029275894,0.008099365501306898
119,training,0.103642255,0.08438651636242867,0.008099365501306898
120,training,0.07226632,0.19628630578517914,0.010820377900553898
121,training,0.1261963,0.10370253771543504,0.010820377900553898
122,training,0.019547878,0.07992283999919891,0.010820377900553898
123,training,0.011146663,0.03087520599365237,0.010820377900553898
124,training,0.026463818,0.003456681966781616,0.011485811579877726
125,training,0.026576642,0.029247790575027494,0.011485811579877726
126,training,0.03767208,0.12741823494434357,0.011485811579877726
127,training,0.021547372,0.2502742409706116,0.011485811579877726
128,training,0.010514958,0.31698739528656006,0.011485811579877726
129,training,0.010823915,0.41783323884010315,0.06392176587983363
130,training,0.024004897,0.411013588309288,0.06392176587983363
131,training,0.05191772,0.32891882956027985,0.06392176587983363
132,training,0.013479089,0.21158798038959503,0.06392176587983363
133,training,0.021876492,0.0407574325799942,0.14591570438906198
134,training,0.0376435,0.06286665797233579,0.14591570438906198
135,training,0.026838608,0.07282754778862,0.14591570438906198
136,training,0.042854544,0.06891676783561701,0.14591570438906198
137,training,0.007888731,0.1492873728275299,0.15790804890312227
138,training,0.016166473,0.1419846415519714,0.15790804890312227
139,training,0.027736375,0.0718781054019928,0.15790804890312227
140,training,0.06977968,0.05994251370429993,0.15790804890312227
141,training,0.09545112,0.09685618430376053,0.1469361444352593
142,training,0.029270044,0.14031090401113033,0.1469361444352593
143,training,0.042533934,0.022749558091163635,0.1469361444352593
144,training,0.054484785,0.1474495828151703,0.1469361444352593
145,training,0.03812803,0.3235948085784912,0.1469361444352593
146,training,0.060207605,0.37989722192287445,0.15610767007190557
147,training,0.11088534,0.3336450755596161,0.15610767007190557
148,training,0.041429207,0.22726570069789884,0.15610767007190557
149,training,0.0054831076,0.1323678493499756,0.15610767007190557
150,training,0.016601428,0.01953190565109253,0.15610767007190557
151,training,0.074692905,0.05541480332612991,0.1060837480631989
152,training,0.018593669,0.31314756721258163,0.1060837480631989
153,training,0.019335512,0.3852597177028656,0.1060837480631989
154,training,0.12888326,0.3712381348013878,0.1060837480631989
155,training,0.038926624,0.28735192865133286,0.1060837480631989
156,training,0.105843894,0.003516241908073439,0.0911325270495106
157,training,0.035890583,0.2059750109910965,0.0911325270495106
158,training,0.010435644,0.33416417241096497,0.0911325270495106
159,training,0.10519342,0.2483447790145874,0.0911325270495106
160,training,0.019523602,0.12030002474784851,0.07496148506550976
161,training,0.10105286,0.02041234076023099,0.07496148506550976
162,training,0.044366315,0.03289017081260681,0.07496148506550976
163,training,0.049005426,0.011192947626113892,0.07496148506550976
164,training,0.075917855,0.10401993989944458,0.07496148506550976
165,training,0.03371469,0.17594568431377414,0.04544844012840441
166,training,0.017461838,0.2440513372421265,0.04544844012840441
167,training,0.0047523133,0.31311748921871185,0.04544844012840441
168,training,0.028030701,0.2865118682384491,0.04544844012840441
169,training,0.06554669,0.2391490936279297,0.04570246711514237
170,training,0.12870741,0.16906285285949713,0.04570246711514237
171,training,0.09848714,0.18592512607574457,0.04570246711514237
172,training,0.028344983,0.252169206738472,0.10258664721640987
173,training,0.034333218,0.3997107297182083,0.10258664721640987
174,training,0.020270897,0.5794053226709366,0.10258664721640987
175,training,0.018971816,0.6952027156949043,0.10258664721640987
176,training,0.052942753,0.7293984815478325,0.10258664721640987
177,training,0.08807888,0.748076293617487,0.10258664721640987
178,training,0.030194748,0.5052939607412554,0.1496062807235321
179,training,0.011700887,0.29116126894950867,0.1496062807235321
180,training,0.03777714,0.17112597823143005,0.07001070502748655
181,training,0.035155267,0.20963850617408752,0.07001070502748655
182,training,0.0829301,0.45270325243473053,0.07001070502748655
183,training,0.012260661,0.5999657362699509,0.06675224648545273
184,training,0.069452696,0.484752656891942,0.05942902280658008
185,training,0.021861512,0.34889155998826027,0.05942902280658008
186,training,0.15349162,0.32876041159033775,0.05942902280658008
187,training,0.00825095,0.290666364133358,0.05657694325107749
188,training,0.022369644,0.06135796755552292,0.05657694325107749
189,training,0.092411,0.22596027702093124,0.058072004028838574
190,training,0.022147637,0.49787087738513947,0.058072004028838574
191,training,0.2532809,0.5766967870295048,0.058072004028838574
192,training,0.039539266,1.0180303826928139,0.21713818822061967
193,training,0.027105961,0.9772358126938343,0.21713818822061967
194,training,0.1047363,1.192425575107336,0.29580008449033435
195,training,0.003053492,1.0478208810091019,0.3309262096825658
196,training,0.078745335,0.9882167577743532,0.3524420722861194
197,training,0.038898654,1.1208369135856626,0.3281257294823323
198,training,0.08886875,0.8321654945611954,0.2702181317922857
199,training,0.11746151,1.2222362700849771,0.23242627344235636
200,training,0.009996688,1.212433487176895,0.1956173392435466
201,training,0.25762925,1.2989408671855924,0.15477015139054662
202,training,0.04146789,1.070046752691269,0.06433738385181652
203,training,0.074764565,0.7461013793945312,0.06433738385181652
204,training,0.04548253,0.4561194055713714,0.009281057321143827
205,training,0.008221718,0.17692275345325464,0.009281057321143827
206,training,0.12155333,0.06482832133769989,0.06435361554740325
207,training,0.07297421,0.10890730645041913,0.06435361554740325
208,training,0.01931339,0.37953993678092957,0.06435361554740325
209,training,0.012116365,0.29722166527062654,0.06435361554740325
210,training,0.10380734,0.2058386355638504,0.21754215620964962
211,training,0.14804433,0.03962793946266176,0.21754215620964962
212,training,0.074722975,0.021634608507156372,0.21754215620964962
213,training,0.0066111838,0.3731253296136856,0.21754215620964962
214,training,0.08322975,0.07321345806121826,0.28670958792059215
215,training,0.09811151,0.06518321484327316,0.28670958792059215
216,training,0.1457553,0.06691733002662659,0.28670958792059215
217,training,0.019361626,0.012196362018585205,0.28670958792059215
218,training,0.26451573,0.2979298233985901,0.28670958792059215
