step,mode,loss,angle_error(rad),distance(m)
1,training,0.015099905,0.6198494210839272,0.0
2,training,0.38422924,0.12005513161420822,0.0
3,training,0.015068983,0.3516196236014366,0.0
4,training,0.112479724,0.04953666776418686,0.0
5,training,0.09563413,0.05928149819374086,0.0
6,training,0.05077107,0.04837637394666672,0.0
7,training,0.100191034,0.022070161998271942,0.06445329567722771
8,training,0.07061207,0.34010236989706755,0.06445329567722771
9,training,0.01776763,0.007102403789758675,0.06445329567722771
10,training,0.05893462,0.1766723319888115,0.06445329567722771
11,training,0.021609988,0.012104298919439316,0.06445329567722771
12,training,0.03286019,0.035942068323493004,0.06746563707889708
13,training,0.021179212,0.04075666144490243,0.06746563707889708
14,training,0.01901349,0.13334908708930016,0.06746563707889708
15,training,0.04784806,0.003282438963651664,0.06746563707889708
16,training,0.019988192,0.030359895899891853,0.06746563707889708
17,training,0.085548945,0.07295889407396317,0.03675735628951314
18,training,0.048997838,0.031816893722862005,0.03675735628951314
19,training,0.1809549,0.3424731772392988,0.03675735628951314
20,training,0.038901526,0.0235575083643198,0.03675735628951314
21,training,0.11198371,0.004097552970051769,0.015230520022426829
22,training,0.021091398,0.03143281675875187,0.015230520022426829
23,training,0.022227082,0.19759941287338734,0.015230520022426829
24,training,0.08334753,0.03325341455638409,0.015230520022426829
25,training,0.037014782,0.04988337494432926,0.015230520022426829
26,training,0.023799714,0.05814414657652378,0.005497114523786876
27,training,0.0651207,0.08608405850827694,0.005497114523786876
28,training,0.026282798,0.23302954621613026,0.005497114523786876
29,training,0.036304425,0.24026170559227467,0.005497114523786876
30,training,0.033346422,0.09460238181054592,0.01456162992512499
31,training,0.03787891,0.07442242465913296,0.01456162992512499
32,training,0.0243349,0.18513415986672044,0.01456162992512499
33,training,0.045460463,0.013340502977371216,0.01456162992512499
34,training,0.054009788,0.025889320764690638,0.01456162992512499
35,training,0.025691744,0.09485634416341782,0.01892127386775216
36,training,0.04361329,0.26241919631138444,0.01892127386775216
37,training,0.042598173,0.12121289037168026,0.01892127386775216
38,training,0.040603936,0.25381546933203936,0.01892127386775216
39,training,0.07304965,0.06251038843765855,0.01892127386775216
40,training,0.0504016,0.08010543882846832,0.01359626905197921
41,training,0.021568231,0.1093607097864151,0.01359626905197921
42,training,0.026258897,0.003969439771026373,0.01359626905197921
43,training,0.07165806,0.02318318746984005,0.01359626905197921
44,training,0.015488364,0.05991608928889036,0.01549705513932344
45,training,0.012505432,0.05831992905586958,0.01549705513932344
46,training,0.025696144,0.01577957160770893,0.01549705513932344
47,training,0.01942506,0.0787976011633873,0.01549705513932344
48,training,0.015733957,0.06568644195795059,0.01549705513932344
49,training,0.047572896,0.1088305115699768,0.021823444540810102
50,training,0.021971915,0.06610617786645889,0.021823444540810102
51,training,0.006520725,0.06262152642011642,0.021823444540810102
52,training,0.015008075,0.02952709048986435,0.021823444540810102
53,training,0.020107893,0.006702491082251072,0.021823444540810102
54,training,0.01745374,0.035147327929735184,0.01683732561739429
55,training,0.011115374,0.03659585490822792,0.01683732561739429
56,training,0.003179439,0.10945535451173782,0.01683732561739429
57,training,0.003558231,0.08916673064231873,0.01683732561739429
58,training,0.005869335,0.024744970723986626,0.012649496767495572
59,training,0.0076544844,0.03358451649546623,0.012649496767495572
60,training,0.0032013054,0.06442686170339584,0.012649496767495572
61,training,0.0016745273,0.020609619095921516,0.012649496767495572
62,training,0.002768936,0.02161845564842224,0.012649496767495572
63,training,0.0069923047,0.044782303273677826,0.018183732841147
64,training,0.0050122226,0.07082352787256241,0.018183732841147
65,training,0.0037462593,0.0685252845287323,0.018183732841147
66,training,0.005659621,0.0872715562582016,0.018183732841147
67,training,0.0010793251,0.07781457901000977,0.018183732841147
68,training,0.001452192,0.005457303952425718,0.020251107995094116
69,training,0.0019138677,0.09751448780298233,0.020251107995094116
70,training,0.0031778563,0.033567916601896286,0.020251107995094116
71,training,0.0004913628,0.05993576720356941,0.020251107995094116
72,training,0.000582734,0.007031176704913378,0.026518991594176665
73,training,0.0003382617,0.05107012391090393,0.026518991594176665
74,training,0.00029520638,0.024067997932434082,0.026518991594176665
75,training,0.00063420983,0.04343923181295395,0.026518991594176665
76,training,0.00088387897,0.033505816012620926,0.026518991594176665
77,training,0.0068823076,0.0442698709666729,0.026361657623199412
78,training,0.0047837435,0.0698833242058754,0.026361657623199412
79,training,0.008540124,0.03312864899635315,0.026361657623199412
80,training,0.0011234754,0.016543524339795113,0.026361657623199412
81,training,0.0045221103,0.022730302065610886,0.027190680532527538
82,training,0.0010775536,0.09080144762992859,0.027190680532527538
83,training,0.0028546657,0.002177592134103179,0.027190680532527538
84,training,0.0029270896,0.0898381769657135,0.027190680532527538
85,training,0.0051733702,0.0077031743712723255,0.027190680532527538
86,training,0.002713853,0.005527050234377384,0.015412179664081491
