step,mode,loss,angle_error(rad),distance(m)
1,training,0.024364993,0.71964530646801,0.0
2,training,0.41272277,0.014311552047729492,0.0
3,training,0.012822034,0.5076611191034317,0.0
4,training,0.273795,0.4382360130548477,0.0
5,training,0.27809417,0.20241498947143555,0.0
6,training,0.06619112,0.31998157501220703,0.17011272600659494
7,training,0.07448545,0.3626384735107422,0.2318913752774148
8,training,0.24256848,0.4535188674926758,0.2318913752774148
9,training,0.21187162,0.29816800355911255,0.2998007318950238
10,training,0.14610484,0.020459175109863392,0.2930045483303116
11,training,0.09637147,0.05778217315673828,0.2930045483303116
12,training,0.0998214,0.054193377494811956,0.3183660305042765
13,training,0.07568903,0.130277581512928,0.3183660305042765
14,training,0.124066316,0.10311413556337357,0.27630327526406395
15,training,0.104468055,0.04393172636628151,0.27630327526406395
16,training,0.058471553,0.08311830461025238,0.27630327526406395
17,training,0.086763196,0.2270381674170494,0.27630327526406395
18,training,0.059619874,0.05709572276100515,0.18583727675126266
19,training,0.07417309,0.057344537228345885,0.18583727675126266
20,training,0.16141362,0.5517572611570358,0.18583727675126266
21,training,0.27376202,0.8889804482460022,0.18583727675126266
22,training,0.15850146,0.795776903629303,0.18583727675126266
23,training,0.09328533,0.6614226177334785,0.16384257854732884
24,training,0.16709353,0.28931667655706406,0.16384257854732884
25,training,0.05614593,0.13459407538175583,0.16384257854732884
26,training,0.12543035,0.19246628135442734,0.16384257854732884
27,training,0.16464287,0.11601655930280687,0.16384257854732884
28,training,0.10178421,0.2903932984918356,0.15690121438955473
29,training,0.0716823,0.17518985085189342,0.15690121438955473
30,training,0.1176745,0.09667346067726612,0.15690121438955473
31,training,0.15955666,0.08028005249798298,0.15690121438955473
32,training,0.16388816,0.9742336682975292,0.15690121438955473
33,training,0.22792962,0.7661835066974163,0.12025577202710112
34,training,0.16506986,0.4415317140519619,0.12025577202710112
35,training,0.14780076,0.12778526172041893,0.12025577202710112
36,training,0.13958219,0.009816925972700119,0.12025577202710112
37,training,0.120073974,0.29760024324059486,0.12025577202710112
38,training,0.19978556,0.5672796741127968,0.08038497863533998
39,training,0.04722327,0.29259566124528646,0.08038497863533998
40,training,0.09515616,0.08193629793822765,0.08038497863533998
41,training,0.04595755,0.10338979959487915,0.08038497863533998
42,training,0.027508963,0.1081736609339714,0.07106738088172021
43,training,0.029880947,0.16344019770622253,0.07106738088172021
44,training,0.11115426,0.20847667381167412,0.07106738088172021
45,training,0.05038497,0.1014481745660305,0.07106738088172021
46,training,0.06831834,0.2114003710448742,0.07106738088172021
47,training,0.09662573,0.15089921653270721,0.055257219015682736
48,training,0.14097744,0.28871134109795094,0.055257219015682736
49,training,0.080487624,0.0539111103862524,0.055257219015682736
50,training,0.05191986,0.26237559132277966,0.055257219015682736
51,training,0.11162566,0.0787102235481143,0.04815511918538817
52,training,0.17223227,0.2385849803686142,0.04815511918538817
53,training,0.16627923,0.059975296258926364,0.04815511918538817
54,training,0.12774049,0.10792864346876742,0.04815511918538817
55,training,0.01348686,0.21205727756023407,0.022137641611672632
56,training,0.1779803,0.38225579261779785,0.022137641611672632
57,training,0.13856582,0.47912280773743987,0.022137641611672632
58,training,0.35247907,0.2053857520222664,0.022137641611672632
59,training,0.11592212,0.2243117019534111,0.022137641611672632
60,training,0.3383229,0.057088352739810944,0.01841649338260338
61,training,0.25852898,0.01727377250790596,0.01841649338260338
62,training,0.07438257,0.19331032782793045,0.01841649338260338
63,training,0.12645409,0.10697181150317192,0.01841649338260338
64,training,0.108665496,0.1781169772148132,0.01841649338260338
65,training,0.21396942,0.179666384938173,0.0999340034482204
66,training,0.07356924,0.22889392450451845,0.09047204209162994
67,training,0.1794437,0.11812603473663325,0.09047204209162994
68,training,0.13351122,0.04482264816761017,0.09047204209162994
69,training,0.08306224,0.14709717035293585,0.09047204209162994
70,training,0.034981303,0.22745918482542032,0.09047204209162994
71,training,0.08148833,0.3814311549067497,0.09047204209162994
72,training,0.12450965,0.42400558292865753,0.09047204209162994
73,training,0.16174611,0.39585424959659576,0.09047204209162994
74,training,0.063788824,0.4347177743911743,0.09047204209162994
75,training,0.07272872,0.26265679299831385,0.09047204209162994
76,training,0.090308115,0.13478019833564764,0.09047204209162994
77,training,0.040342364,0.030238240957260132,0.09047204209162994
78,training,0.046712846,0.04685017466545105,0.09047204209162994
79,training,0.16762888,0.054249465465545654,0.09047204209162994
80,training,0.074595585,0.08731719851493841,0.09047204209162994
81,training,0.062907144,0.11740726232528687,0.09047204209162994
82,training,0.16916466,0.12296614050865168,0.09047204209162994
83,training,0.25678387,0.06443142890930176,0.09047204209162994
84,training,0.09948163,0.007014483213424683,0.09047204209162994
85,training,0.16026622,0.038458675146102905,0.09047204209162994
86,training,0.02668446,0.16033063828945154,0.09047204209162994
87,training,0.040925443,0.1999072209000588,0.09047204209162994
88,training,0.18643312,0.23249401897192,0.09047204209162994
89,training,0.038738668,0.2951492685824632,0.09047204209162994
90,training,0.0516204,0.028905034065246582,0.09047204209162994
91,training,0.086886615,0.060375273227691706,0.09047204209162994
92,training,0.041933667,0.09597134590148926,0.09047204209162994
93,training,0.17663836,0.005129814147949163,0.09047204209162994
94,training,0.041449826,0.23699508979916578,0.09047204209162994
95,training,0.12115266,0.2502105645835399,0.09047204209162994
96,training,0.05840398,0.21049881353974342,0.09047204209162994
97,training,0.10555611,0.220220036804676,0.09047204209162994
98,training,0.08379643,0.6530597507953644,0.09047204209162994
99,training,0.062362798,0.7384101748466492,0.09047204209162994
100,training,0.10455594,0.7630697190761566,0.09047204209162994
101,training,0.04540044,0.750744104385376,0.09047204209162994
102,training,0.14666271,0.33531323075294495,0.09047204209162994
103,training,0.1500864,0.45047238469123846,0.09047204209162994
104,training,0.22389486,0.4764038026332856,0.09047204209162994
105,training,0.07175375,0.4298740923404694,0.09047204209162994
106,training,0.13875362,0.30449810624122625,0.09047204209162994
107,training,0.05885403,0.18514397740364075,0.09047204209162994
108,training,0.19936869,0.04487690329551697,0.09047204209162994
109,training,0.08448315,0.1225363165140152,0.09047204209162994
110,training,0.07133459,0.29406396858394146,0.09047204209162994
111,training,0.13787533,0.26778437942266464,0.09047204209162994
112,training,0.04791282,0.20763123035430914,0.09047204209162994
113,training,0.020791177,0.10188795626163477,0.09047204209162994
114,training,0.11626449,0.27436361089348793,0.09047204209162994
115,training,0.17835513,0.09722340852022171,0.09047204209162994
116,training,0.05657548,0.3561393618583679,0.09047204209162994
117,training,0.07003334,0.313577052205801,0.09047204209162994
118,training,0.04559924,0.09385272860527039,0.09047204209162994
119,training,0.04399202,0.03968788683414459,0.09047204209162994
120,training,0.03166836,0.01542896032333374,0.09047204209162994
121,training,0.17297608,0.07758207619190216,0.09047204209162994
122,training,0.06255321,0.17802905291318893,0.09047204209162994
123,training,0.037046924,0.29221223480999464,0.09047204209162994
124,training,0.20639527,0.44994969666004175,0.09047204209162994
125,training,0.041287098,0.35645973309874535,0.09047204209162994
126,training,0.10809942,0.1190529353916645,0.09047204209162994
127,training,0.0067010247,0.347601480782032,0.09047204209162994
128,training,0.06928033,0.45133502408862114,0.09047204209162994
129,training,0.080441654,0.17972025275230408,0.09047204209162994
130,training,0.07252521,0.052296288311481476,0.09047204209162994
131,training,0.07447745,0.1373855546116829,0.09047204209162994
132,training,0.09776577,0.008432690054178238,0.09047204209162994
133,training,0.03816468,0.1650647185742855,0.09047204209162994
134,training,0.04075361,0.20138442143797874,0.09047204209162994
135,training,0.039384246,0.07454723119735718,0.09047204209162994
136,training,0.21284744,0.3864530511200428,0.09047204209162994
137,training,0.16252954,0.34775860980153084,0.09047204209162994
138,training,0.069098905,0.21532432362437248,0.09047204209162994
139,training,0.06607369,0.3785926215350628,0.09047204209162994
140,training,0.10777448,0.20740554854273796,0.09047204209162994
141,training,0.18598485,0.01176312193274498,0.09047204209162994
142,training,0.035293482,0.4131907932460308,0.09047204209162994
143,training,0.04844062,0.3755113296210766,0.09047204209162994
144,training,0.0729022,0.05168348178267479,0.09047204209162994
145,training,0.055994295,0.30399032309651375,0.09047204209162994
146,training,0.045312136,0.11856536939740181,0.09047204209162994
147,training,0.04606956,0.03954016044735909,0.09047204209162994
148,training,0.032731205,0.0826232060790062,0.09047204209162994
149,training,0.16108078,0.0760202668607235,0.09047204209162994
150,training,0.05484359,0.3252360634505749,0.09047204209162994
151,training,0.040088017,0.1514713577926159,0.03756401500195998
152,training,0.013078308,0.11937268450856209,0.03756401500195998
153,training,0.05703615,0.026791445910930634,0.03756401500195998
154,training,0.05930984,0.3387368619441986,0.03756401500195998
155,training,0.024435671,0.07736675068736076,0.03756401500195998
156,training,0.06088556,0.15734928846359253,0.03756401500195998
