step,mode,loss,angle_error(rad),distance(m)
1,training,6.419206e-05,0.30626061744987965,0.0
2,training,0.027625863,0.19477914553135633,0.0
3,training,0.030049453,0.21496816165745258,0.0
4,training,0.027674377,0.11115338420495391,0.0
5,training,0.049590684,0.004013618919998407,0.0
6,training,0.04747531,0.08994831703603268,0.0
7,training,0.029997546,0.05457531847059727,0.11706206685056728
8,training,0.027243901,0.13589279726147652,0.11706206685056728
9,training,0.02687997,0.08100066101178527,0.11706206685056728
10,training,0.032037042,0.0299207866191864,0.11706206685056728
11,training,0.020301685,0.045887256041169174,0.15514314213481759
12,training,0.040367514,0.11726729199290276,0.15514314213481759
13,training,0.048735294,0.13095123320817947,0.15514314213481759
14,training,0.028573167,0.1670701876282692,0.15514314213481759
15,training,0.025623428,0.013657830655574799,0.16066855455394735
16,training,0.031024117,0.0384225845336914,0.16066855455394735
17,training,0.020300325,0.08110399171710014,0.16066855455394735
18,training,0.02301423,0.04163388907909393,0.16066855455394735
19,training,0.012741992,0.03136730194091797,0.16066855455394735
20,training,0.010919092,0.15862003713846207,0.14016535362715277
21,training,0.014211823,0.17019998282194138,0.14016535362715277
22,training,0.0093943775,0.23844198044389486,0.14016535362715277
23,training,0.015681995,0.11046628281474113,0.14016535362715277
24,training,0.028274786,0.04771889257244766,0.14016535362715277
25,training,0.07206728,0.07383901346474886,0.10058500289388034
26,training,0.06317965,0.045810004696249955,0.10058500289388034
27,training,0.036391765,0.22757316939532757,0.10058500289388034
28,training,0.012107803,0.22895517200231552,0.10058500289388034
29,training,0.008197521,0.11914990097284318,0.10058500289388034
30,training,0.016784336,0.023642364889383316,0.06635971857874573
31,training,0.046627216,0.009654600173234933,0.06635971857874573
32,training,0.047089763,0.02245771512389183,0.06635971857874573
33,training,0.022269942,0.10262541472911835,0.06635971857874573
34,training,0.022860799,0.18797048553824425,0.06635971857874573
35,training,0.008512804,0.06266516447067261,0.033937431212048015
36,training,0.007746727,0.14782147482037544,0.033937431212048015
37,training,0.007978289,0.015762832015752792,0.033937431212048015
38,training,0.011982496,0.007542036473751068,0.033937431212048015
39,training,0.00907102,0.06485232338309288,0.014722909984640596
40,training,0.0027916003,0.023158740252256393,0.014722909984640596
41,training,0.0063754874,0.056142959743738174,0.014722909984640596
42,training,0.0068167574,0.011744178831577301,0.014722909984640596
43,training,0.0064226724,0.07996310293674469,0.014722909984640596
44,training,0.00302277,0.011323065496981144,0.006138656588620713
45,training,0.004299534,0.08858837746083736,0.006138656588620713
46,training,0.008407047,0.03744682855904102,0.006138656588620713
47,training,0.00715602,0.11727237515151501,0.006138656588620713
48,training,0.0028655431,0.02027944033034146,0.006138656588620713
49,training,0.0055502476,0.020643997937440872,0.008941089201415325
50,training,0.008194113,0.009601101279258721,0.008941089201415325
51,training,0.002637227,0.03017994621768593,0.008941089201415325
52,training,0.015015772,0.0018286928534507751,0.008941089201415325
53,training,0.012607866,0.0988596696406603,0.008941089201415325
54,training,0.0074625676,0.02104552835226059,0.024782536169057637
55,training,0.0072265947,0.08583764731884003,0.024782536169057637
56,training,0.0054695,0.0009234938770532573,0.024782536169057637
57,training,0.0074553904,0.049226609990000725,0.024782536169057637
58,training,0.0058771838,0.07979487627744675,0.024782536169057637
59,training,0.005408055,0.07642350345849991,0.03143217959595509
60,training,0.006336063,0.017833907157182693,0.03143217959595509
61,training,0.0042687887,0.104397002607584,0.03143217959595509
62,training,0.007119923,0.0073962137103080715,0.03143217959595509
63,training,0.008963388,0.05423371493816376,0.039284346330964545
64,training,0.008886433,0.020956634543836117,0.039284346330964545
65,training,0.022434475,0.03203256940469146,0.039284346330964545
66,training,0.010670569,0.0006117247976362705,0.039284346330964545
67,training,0.010752197,0.03667881712317467,0.039284346330964545
68,training,0.0021579876,0.03273280709981918,0.01952183739816617
69,training,0.0065287366,0.06997468508780003,0.01952183739816617
70,training,0.0016326334,0.009409755468368527,0.01952183739816617
71,training,0.0029254807,0.03308202512562275,0.01952183739816617
72,training,0.0025767854,0.06467270664870739,0.01952183739816617
73,training,0.004427001,0.0232839398086071,0.021865590776163128
74,training,0.003734443,0.08793959068134427,0.021865590776163128
75,training,0.0063999635,0.010840033122804014,0.021865590776163128
76,training,0.019929692,0.002352006733417497,0.021865590776163128
77,training,0.0071407957,0.0007077381014823914,0.021865590776163128
78,training,0.009758148,0.0745772491209209,0.009269983662738743
79,training,0.0010539889,0.011169586330652223,0.009269983662738743
80,training,0.0034950892,0.04287594929337502,0.009269983662738743
81,training,0.00188522,0.018614482134580605,0.009269983662738743
