step,mode,loss,angle_error(rad),distance(m)
1,training,0.05652513,0.5761589109897614,0.0
2,training,0.33814916,0.21407553553581238,0.0
3,training,0.043735906,0.2341529226396233,0.0
4,training,0.05446846,0.030209094285964994,0.0
5,training,0.11830594,0.27613991498947144,0.0
6,training,0.12881584,0.15987007319927216,0.0
7,training,0.05662676,0.018680982291698456,0.06295304618969708
8,training,0.028524052,0.4285336621105671,0.06295304618969708
9,training,0.09432861,0.22280060104094446,0.06295304618969708
10,training,0.051424596,0.17521524708718061,0.06295304618969708
11,training,0.06995082,0.034171334467828274,0.06295304618969708
12,training,0.067469545,0.07630449254065752,0.04421980781059047
13,training,0.041113313,0.11621015518903732,0.04421980781059047
14,training,0.044610694,0.04389922320842743,0.04421980781059047
15,training,0.06530582,0.13805456459522247,0.04421980781059047
16,training,0.13899288,0.058549616485834136,0.01651779101236265
17,training,0.16269544,0.2659985199570656,0.01651779101236265
18,training,0.066816166,0.19621288776397705,0.01651779101236265
19,training,0.036722668,0.21371982246637344,0.01651779101236265
20,training,0.041404888,0.06764010014012456,0.01651779101236265
21,training,0.038661044,0.01445199130102992,0.007054317266015903
22,training,0.02853379,0.041376255452632904,0.007054317266015903
23,training,0.032950927,0.025696286465972662,0.007054317266015903
24,training,0.044706747,0.16268698871135712,0.007054317266015903
25,training,0.024417873,0.0525953434407711,0.007054317266015903
26,training,0.009537645,0.059877990279346704,0.020672203716502444
27,training,0.026453495,0.17351815104484558,0.020672203716502444
28,training,0.022814356,0.08892137557268143,0.020672203716502444
29,training,0.08508112,0.07023175805807114,0.020672203716502444
30,training,0.064090654,0.2675634026527405,0.020672203716502444
31,training,0.03305606,0.23342487215995789,0.027303367276308044
32,training,0.0149926,0.12588966358453035,0.027303367276308044
33,training,0.062268384,0.2731428863480687,0.027303367276308044
34,training,0.009749054,0.20643015019595623,0.027303367276308044
35,training,0.04578398,0.302404107991606,0.023103726486253837
36,training,0.084797524,0.091885169968009,0.023103726486253837
37,training,0.04115857,0.3469408773817122,0.023103726486253837
38,training,0.027972259,0.1407499136403203,0.023103726486253837
39,training,0.11045888,0.23929819697514176,0.023103726486253837
40,training,0.08821948,0.11339238099753857,0.007700220568418263
41,training,0.047420263,0.08209146838635206,0.007700220568418263
42,training,0.08755479,0.1286619734019041,0.007700220568418263
43,training,0.07464613,0.2719920873641968,0.007700220568418263
44,training,0.03331917,0.2926326394081116,0.007700220568418263
45,training,0.12568888,0.31871965527534485,0.012813082419806839
46,training,0.07816874,0.29016631841659546,0.012813082419806839
47,training,0.053752266,0.06355993216857314,0.012813082419806839
48,training,0.11068551,0.2874491810798645,0.012813082419806839
49,training,0.032139614,0.23932771384716034,0.012813082419806839
50,training,0.02845782,0.014524358324706554,0.009304717291670437
51,training,0.10900114,0.21859939582645893,0.009304717291670437
52,training,0.07293471,0.25835604779422283,0.009304717291670437
53,training,0.010279473,0.22689494490623474,0.009304717291670437
54,training,0.06804939,0.015275757759809494,0.009304717291670437
55,training,0.07017034,0.2323646992444992,0.015960247881571445
56,training,0.25905687,0.06178361177444458,0.015960247881571445
57,training,0.018939244,0.003502661595121026,0.015960247881571445
58,training,0.06926891,0.0873209685087204,0.015960247881571445
59,training,0.07959576,0.1520412117242813,0.014510694838760553
60,training,0.023876017,0.09257529675960541,0.014510694838760553
61,training,0.08559233,0.14139540493488312,0.014510694838760553
62,training,0.04029129,0.24845744669437408,0.014510694838760553
63,training,0.013316173,0.030327722430229187,0.014510694838760553
64,training,0.05295994,0.022135471925139427,0.013719285538454057
65,training,0.030404804,0.11566965561360121,0.013719285538454057
66,training,0.009563891,0.06014605797827244,0.013719285538454057
67,training,0.0065013696,0.03105699084699154,0.013719285538454057
68,training,0.011325431,0.07809100300073624,0.013719285538454057
69,training,0.003531923,0.05697323754429817,0.020236391370040494
70,training,0.0070654964,0.030391257256269455,0.020236391370040494
71,training,0.0072243875,0.004252139013260603,0.020236391370040494
72,training,0.005222598,0.001723371329717338,0.020236391370040494
73,training,0.010091094,0.02058839611709118,0.020236391370040494
74,training,0.0012426036,0.09816145151853561,0.024225931754522704
75,training,0.0058008246,0.05267191678285599,0.024225931754522704
76,training,0.0068293894,0.023918243125081062,0.024225931754522704
77,training,0.0031793052,0.01903505064547062,0.024225931754522704
78,training,0.004771535,0.004725756589323282,0.024225931754522704
79,training,0.0021125237,0.058425843715667725,0.030777200632679
80,training,0.009623545,0.005694210063666105,0.030777200632679
81,training,0.008014618,0.07465114444494247,0.030777200632679
82,training,0.001840688,0.014668908435851336,0.030777200632679
83,training,0.0034376038,0.02946777455508709,0.03441155419473562
84,training,0.0038980837,0.03287874162197113,0.03441155419473562
85,training,0.0010781045,0.029048535972833633,0.03441155419473562
86,training,0.0014995884,0.07065065950155258,0.03441155419473562
87,training,0.006159736,0.041350238025188446,0.03441155419473562
88,training,0.0029719505,0.023694904521107674,0.022348451502160555
89,training,0.0010699014,0.05450284481048584,0.022348451502160555
90,training,0.0008925083,0.03948742151260376,0.022348451502160555
91,training,0.004483957,0.028873147442936897,0.022348451502160555
92,training,0.0010375322,0.0790666788816452,0.022348451502160555
93,training,0.0022422962,0.0733574852347374,0.01719551092390293
94,training,0.0012056654,0.024803195148706436,0.01719551092390293
95,training,0.0010626764,0.030941840261220932,0.01719551092390293
96,training,0.0009873777,0.025607753545045853,0.01719551092390293
97,training,0.0007914406,0.04653206840157509,0.01719551092390293
98,training,0.0013427697,0.049097439739853144,0.017794336528635036
99,training,0.0016848777,0.005699980538338423,0.017794336528635036
100,training,0.0007945223,0.012598940171301365,0.017794336528635036
101,training,0.001441237,0.045869164168834686,0.017794336528635036
102,training,0.0007916138,0.027635684702545404,0.023974293285537625
103,training,0.002340955,0.03340653143823147,0.023974293285537625
104,training,0.0014658016,0.03705044090747833,0.023974293285537625
105,training,0.0012903351,0.07097681611776352,0.023974293285537625
106,training,0.0018426862,0.0931578278541565,0.023974293285537625
107,training,0.00061191455,0.09651406109333038,0.023001947167119712
108,training,0.0006664337,0.11737285554409027,0.023001947167119712
109,training,0.0009405238,0.09574010223150253,0.023001947167119712
110,training,0.0010650769,0.08718722313642502,0.023001947167119712
111,training,0.0022420227,0.08936021476984024,0.023001947167119712
112,training,0.0010760808,0.03230614215135574,0.02139090691622156
113,training,0.0049080327,0.0008399967919103801,0.02139090691622156
114,training,0.0021599438,0.10301471874117851,0.02139090691622156
115,training,0.0027671722,0.07979309372603893,0.02139090691622156
116,training,0.00080332736,0.20160105638206005,0.02255772335546667
117,training,0.013382641,0.143704978749156,0.02255772335546667
118,training,0.005012813,0.022518811281770468,0.02255772335546667
119,training,0.0007985327,0.04741725814528763,0.02255772335546667
120,training,0.008317897,0.07096221810206771,0.02255772335546667
121,training,0.021015858,0.0694507285952568,0.028398929461713032
122,training,0.006313609,0.0549846775829792,0.028398929461713032
123,training,0.00389941,0.14031770639121532,0.028398929461713032
124,training,0.003100574,0.022630018298514187,0.028398929461713032
125,training,0.0010731407,0.014592241495847702,0.028398929461713032
126,training,0.0032802552,0.0021705301478505135,0.03256073884050686
127,training,0.0029956833,0.0967213325202465,0.03256073884050686
128,training,0.0009849108,0.040991006419062614,0.03256073884050686
129,training,0.0020764833,0.05969117069616914,0.03256073884050686
130,training,0.0030742842,0.07876063697040081,0.03256073884050686
131,training,0.0011888163,0.016880599781870842,0.03464499406628773
132,training,0.0009996274,0.06300171464681625,0.03464499406628773
133,training,0.0016446835,0.06291856244206429,0.03464499406628773
134,training,0.005576513,0.02216823399066925,0.03464499406628773
135,training,0.0040716873,0.02652144245803356,0.03257700461662029
136,training,0.003548304,0.07792890630662441,0.03257700461662029
137,training,0.00761491,0.041242596693336964,0.03257700461662029
138,training,0.001529587,0.07478541508316994,0.03257700461662029
139,training,0.00040069976,0.04935308499261737,0.03257700461662029
140,training,0.0015071143,0.01596322376281023,0.021103716861078474
141,training,0.00055867597,0.033930251374840736,0.021103716861078474
142,training,0.0036589997,0.03285940922796726,0.021103716861078474
143,training,0.0018725486,0.015174330212175846,0.021103716861078474
144,training,0.003683806,0.003971666097640991,0.021103716861078474
145,training,0.0058394577,0.025975711992941797,0.011692150818509649
146,training,0.0018630252,0.018428372219204903,0.011692150818509649
147,training,0.0012620924,0.03623962216079235,0.011692150818509649
148,training,0.0038707966,0.07102878578007221,0.011692150818509649
149,training,0.0007120692,0.07834949064999819,0.009212112910621247
150,training,0.001125098,0.02048747427761555,0.009212112910621247
151,training,0.004211566,0.012186148203909399,0.009212112910621247
152,training,0.0017760231,0.04592626966768876,0.009212112910621247
153,training,0.00059651735,0.04192013293504715,0.01351280707388833
154,training,0.0019861541,0.0813203863799572,0.01351280707388833
155,training,0.0030695517,0.06520448112860322,0.01351280707388833
156,training,0.0016176251,0.09328959509730339,0.01351280707388833
157,training,0.0024012816,0.06631589494645596,0.02182188769503984
158,training,0.014854845,0.022120985202491283,0.02182188769503984
159,training,0.0061408924,0.07005765847861767,0.02182188769503984
160,training,0.008528423,0.043580773286521435,0.02182188769503984
161,training,0.004107335,0.1417161077260971,0.02182188769503984
162,training,0.0023578042,0.008492985740303993,0.017644657556278455
163,training,0.0014531713,0.038607267662882805,0.017644657556278455
164,training,0.014900805,0.019622016698122025,0.017644657556278455
165,training,0.025357228,0.042231266386806965,0.017644657556278455
166,training,0.024535723,0.05523319263011217,0.017644657556278455
167,training,0.024770483,0.06868531787768006,0.0161044137310454
168,training,0.012229434,0.22957172337919474,0.0161044137310454
169,training,0.0011433233,0.09822376631200314,0.0161044137310454
170,training,0.007703756,0.027012035250663757,0.0161044137310454
171,training,0.007658354,0.06279618851840496,0.019399046447557883
172,training,0.018103749,0.014947116374969482,0.019399046447557883
173,training,0.015929408,0.2257125936448574,0.019399046447557883
174,training,0.022973597,0.04928306862711908,0.019399046447557883
175,training,0.007518484,0.10163415595889091,0.019399046447557883
176,training,0.020885749,0.02191731170751154,0.01984368074971869
177,training,0.008649783,0.18942617066204548,0.01984368074971869
178,training,0.009983199,0.01451520249247551,0.01984368074971869
179,training,0.0038195523,0.0005492490017786622,0.01984368074971869
180,training,0.0010764991,0.020571148023009304,0.01984368074971869
181,training,0.012418967,0.09265237487852573,0.018904120992504235
182,training,0.016731104,0.03182108700275421,0.018904120992504235
183,training,0.011747096,0.027622949797660112,0.018904120992504235
184,training,0.00687029,0.12175972992554307,0.018904120992504235
185,training,0.002413354,0.0848569618538022,0.018904120992504235
186,training,0.0025903739,0.04499028017744422,0.013077690272574615
187,training,0.002387926,0.012757133692502979,0.013077690272574615
188,training,0.01028228,0.03971805702894926,0.013077690272574615
189,training,0.007260848,0.06602096743881702,0.013077690272574615
190,training,0.0017459197,0.1126854196190834,0.011189244657990342
191,training,0.0018970692,0.0025094691663980484,0.011189244657990342
192,training,0.0012709121,0.014629261568188667,0.011189244657990342
193,training,0.0031436423,0.01142184529453516,0.011189244657990342
194,training,0.0050144424,0.014828904997557402,0.008883873376746393
195,training,0.002055185,0.10874946415424347,0.008883873376746393
196,training,0.0008478978,0.07834035670384765,0.008883873376746393
197,training,0.00023503994,0.06136583021725528,0.008883873376746393
198,training,0.0029124352,0.1213861033320427,0.008883873376746393
199,training,0.0022008838,0.00829818844795227,0.019233374734071752
200,training,0.0017620679,0.029742415994405746,0.019233374734071752
201,training,0.00080922456,0.053178027272224426,0.019233374734071752
202,training,0.0020581984,0.022119237110018727,0.019233374734071752
203,training,0.001636833,0.04014015942811966,0.02408446264283094
204,training,0.0036646416,0.017650162801146507,0.02408446264283094
205,training,0.00056030764,0.05765448696911335,0.02408446264283094
206,training,0.0017098754,0.01603864971548319,0.02408446264283094
207,training,0.0028964304,0.021562812420597766,0.02408446264283094
208,training,0.0018893593,0.02518494985997677,0.012120414465773766
209,training,0.0028760363,0.015493229962885378,0.012120414465773766
210,training,0.0026234533,0.0012723770923912525,0.012120414465773766
211,training,0.0010439318,0.006157847121357918,0.012120414465773766
212,training,0.0012010604,0.001487641828134656,0.012120414465773766
213,training,0.000799853,0.009625494480133057,0.012055505172864085
214,training,0.0008155224,0.012295932043343782,0.012055505172864085
215,training,0.0024267542,0.009170971810817719,0.012055505172864085
216,training,0.0016550315,0.04114988446235657,0.012055505172864085
217,training,0.0023174854,0.04450951889157295,0.0054188464551222235
218,training,0.0017823365,0.07068050652742386,0.0054188464551222235
219,training,0.0007685316,0.009592851623892784,0.0054188464551222235
220,training,0.0013125527,0.02208886854350567,0.0054188464551222235
221,training,0.0026718418,0.020970654906705022,0.0054188464551222235
222,training,0.0027548284,0.030125150457024574,0.009613697449071057
223,training,0.0033341758,0.016491448506712914,0.009613697449071057
224,training,0.0014415641,0.0013289498165249842,0.009613697449071057
225,training,0.0016503616,0.006342700682580471,0.009613697449071057
226,training,0.0015715581,0.009339108597487211,0.008399986358951807
227,training,0.00053007004,0.0027152944821864367,0.008399986358951807
228,training,0.00028344156,0.0002260510518681258,0.008399986358951807
229,training,0.001020105,0.004622682463377715,0.008399986358951807
230,training,0.0011005127,0.01087973639369011,0.017494217597399383
231,training,0.0034801427,0.008620905689895153,0.017494217597399383
232,training,0.0027303968,0.0016155508346855632,0.017494217597399383
233,training,0.00043687073,0.006008027121424675,0.017494217597399383
234,training,0.0007645234,0.03290862217545509,0.017494217597399383
235,training,0.0005322186,0.034104928374290466,0.02009101718045081
236,training,0.004845725,0.037293473666068166,0.02009101718045081
237,training,0.00097434124,0.013532736338675022,0.02009101718045081
238,training,0.0061217383,0.04569467902183533,0.02009101718045081
239,training,0.006775,0.06174861267209053,0.02009101718045081
240,training,0.010402527,0.04903195193037391,0.013262716108424838
241,training,0.020700738,0.15621203184127808,0.013262716108424838
242,training,0.0043349285,0.09944780170917511,0.013262716108424838
243,training,0.014718153,0.058015938848257065,0.013262716108424838
244,training,0.008122255,0.058054570108652115,0.013262716108424838
245,training,0.004686486,0.06908103823661804,0.008663428214586492
246,training,0.008996594,0.019343032967299223,0.008663428214586492
247,training,0.0012952569,0.04587040841579437,0.008663428214586492
248,training,0.007290803,0.034531377255916595,0.008663428214586492
249,training,0.002451543,0.013372180983424187,0.011671103624370505
250,training,0.0063704257,0.021435514092445374,0.011671103624370505
251,training,0.007366343,0.07922136038541794,0.011671103624370505
252,training,0.003690023,0.017343271523714066,0.011671103624370505
253,training,0.0021028803,0.005015123635530472,0.0062666923358494775
254,training,0.0026014578,0.011518845334649086,0.0062666923358494775
255,training,0.0042121103,0.07700230181217194,0.0062666923358494775
256,training,0.0055212937,0.04607098549604416,0.0062666923358494775
257,training,0.004407272,0.006254977080971003,0.0062666923358494775
258,training,0.0046569696,0.03334634378552437,0.008762619685229192
259,training,0.002654886,0.06652671843767166,0.008762619685229192
260,training,0.008408695,0.02817576378583908,0.008762619685229192
261,training,0.0010065499,0.04891226813197136,0.008762619685229192
262,training,0.00069151015,0.03883780911564827,0.008762619685229192
263,training,0.0019340774,0.012640828266739845,0.0052561896434613
264,training,0.0013453246,0.043751084711402655,0.0052561896434613
265,training,0.003829344,0.04548041708767414,0.0052561896434613
266,training,0.0013987583,0.06955520529299974,0.0052561896434613
267,training,0.0056220675,0.028551241382956505,0.020246566162460792
268,training,0.0027343687,0.05955742299556732,0.020246566162460792
269,training,0.0013314745,0.025255436077713966,0.020246566162460792
270,training,0.0006297189,0.046347152441740036,0.020246566162460792
271,training,0.0018316281,0.019607729744166136,0.02054454281397907
272,training,0.00063652254,0.041501469910144806,0.02054454281397907
273,training,0.0039531374,0.02013683319091797,0.02054454281397907
274,training,0.0016733124,0.04463330656290054,0.02054454281397907
275,training,0.005749106,0.040158696472644806,0.02054454281397907
276,training,0.00778566,0.03545631095767021,0.0175423272391452
277,training,0.009364206,0.015486920718103647,0.0175423272391452
