step,mode,loss,angle_error(rad),distance(m)
1,training,0.0016665856,0.037788635585457094,0.0
2,training,0.020434817,0.017268670722842216,0.0
3,training,0.0243577,0.000584237277507782,0.0
4,training,0.024211518,0.0542488619685173,0.0
5,training,0.02199604,0.0716140903532505,0.0
6,training,0.02057061,0.09497383236885071,0.0
7,training,0.017395152,0.0372430756688118,0.02281928778643812
8,training,0.030590337,0.02661149390041828,0.02281928778643812
9,training,0.027600644,0.0135329719632864,0.02281928778643812
10,training,0.022730216,0.02818267652764917,0.028366860442496113
11,training,0.01902207,0.0368159506469965,0.028366860442496113
12,training,0.017552158,0.040529003366827965,0.028366860442496113
13,training,0.008388822,0.05273893103003502,0.014636048389656264
14,training,0.027060105,0.03138791024684906,0.014636048389656264
15,training,0.021106707,0.011627644300460815,0.017950040934883806
16,training,0.022985885,0.011120195500552653,0.017950040934883806
17,training,0.017243033,0.0032062120735645286,0.017950040934883806
