step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.08258784,0.2594552822411061,0.0,0.0,0.0,0.0
2,training,0.06732935,0.22703199088573456,0.0,0.0,0.0,0.0
3,training,0.06024142,0.23856668919324875,0.0,0.0,0.0,0.0
4,training,0.047828376,0.21134078502655024,0.0,0.0,0.0,0.0
5,training,0.03596033,0.17027774453163147,0.0,0.0,0.0,0.0
6,training,0.02678133,0.19887219369411469,0.0,0.0,0.0,0.0
7,training,0.016683333,0.11170195043087011,0.0,0.0,0.0,0.0
8,training,0.009284621,0.02664777636528015,0.02133397791748321,0.0,0.0,0.0
9,training,0.004271995,0.039408147335052435,0.02133397791748321,0.0,0.0,0.0
10,training,0.0017387195,0.05316925048828125,0.02133397791748321,0.0,0.0,0.0
11,training,0.004577326,0.1916494369506836,0.02133397791748321,0.0,0.0,0.0
12,training,0.008425183,0.22727179527282715,0.008025150149612787,0.0,0.0,0.0
13,training,0.012389648,0.3117150068283081,0.008025150149612787,0.0,0.0,0.0
14,training,0.02141375,0.3009980022907257,0.008025150149612787,0.0,0.0,0.0
15,training,0.03842326,0.27860696613788605,0.033284907399956494,0.0,0.0,0.0
16,training,0.033964824,0.19862450659275055,0.033284907399956494,0.0,0.0,0.0
17,training,0.022353258,0.1282026767730713,0.033284907399956494,0.0,0.0,0.0
18,training,0.025948565,0.12143101915717125,0.06292874648644835,0.0,0.0,0.0
19,training,0.03526085,0.21992018073797226,0.06292874648644835,0.0,0.0,0.0
20,training,0.04359126,0.27359699457883835,0.06292874648644835,0.0,0.0,0.0
21,training,0.034380913,0.2966594323515892,0.06292874648644835,0.0,0.0,0.0
22,training,0.04066913,0.3104610741138458,0.06292874648644835,0.0,0.0,0.0
23,training,0.040211163,0.29983723163604736,0.06292874648644835,0.0,0.0,0.0
24,training,0.0425992,0.3160431310534477,0.06292874648644835,0.0,0.0,0.0
25,training,0.048532397,0.31290988996624947,0.18371611033705124,0.0,0.0,0.0
26,training,0.054939635,0.2965512089431286,0.18371611033705124,0.0,0.0,0.0
27,training,0.03389964,0.6211147457361221,0.18371611033705124,0.0,0.0,0.0
28,training,0.048041828,0.5974540486931802,0.18371611033705124,0.0,0.0,0.0
29,training,0.044767134,0.5748328287154436,0.18371611033705124,0.0,0.0,0.0
30,training,0.038017295,0.5068970881402493,0.29003866084104657,0.0,0.0,0.0
31,training,0.08808026,0.45143777690827847,0.29003866084104657,0.0,0.0,0.0
32,training,0.091379605,0.43983277305960655,0.32268882248907826,0.0,0.0,0.0
33,training,0.0831025,0.39463106170296663,0.32268882248907826,0.0,0.0,0.0
34,training,0.10490882,0.3094877768307924,0.32268882248907826,0.0,0.0,0.0
35,training,0.1041215,0.21122370287775993,0.3197592742032176,0.0,0.0,0.0
36,training,0.051903203,0.21397483721375465,0.3197592742032176,0.0,0.0,0.0
37,training,0.06094939,0.18943452835083008,0.3197592742032176,0.0,0.0,0.0
38,training,0.03635705,0.11516200006008148,0.3197592742032176,0.0,0.0,0.0
39,training,0.06712775,0.06765094958245754,0.3197592742032176,0.0,0.0,0.0
40,training,0.07733031,0.022866306826472282,0.26401053580950407,0.0,0.0,0.0
41,training,0.08662839,0.019353430718183517,0.26401053580950407,0.0,0.0,0.0
42,training,0.08447361,0.011237076483666897,0.26401053580950407,0.0,0.0,0.0
43,training,0.033136334,0.002230656100437045,0.26401053580950407,0.0,0.0,0.0
44,training,0.061048403,0.008244223892688751,0.26401053580950407,0.0,0.0,0.0
45,training,0.07150441,0.014515994116663933,0.26401053580950407,0.0,0.0,0.0
46,training,0.0310128,0.03920356184244155,0.011674481414582355,0.0,0.0,0.0
47,training,0.04412549,0.03650875948369503,0.011674481414582355,0.0,0.0,0.0
48,training,0.05685663,0.040171125903725624,0.011674481414582355,0.0,0.0,0.0
49,training,0.0744477,0.05120518524199724,0.011674481414582355,0.0,0.0,0.0
50,training,0.023770658,0.050431028008461,0.011674481414582355,0.0,0.0,0.0
51,training,0.051094487,0.03344942815601826,0.011674481414582355,0.0,0.0,0.0
52,training,0.04199721,0.034411524422466755,0.021832827273420966,0.0,0.0,0.0
53,training,0.02748774,0.05054563982412219,0.021832827273420966,0.0,0.0,0.0
54,training,0.04524473,0.05931102205067873,0.021832827273420966,0.0,0.0,0.0
55,training,0.057116203,0.07625677809119225,0.021832827273420966,0.0,0.0,0.0
56,training,0.06281546,0.07046511769294739,0.021832827273420966,0.0,0.0,0.0
57,training,0.034409184,0.06103560607880354,0.021832827273420966,0.0,0.0,0.0
58,training,0.017464302,0.07082640554290266,0.042371674170827774,0.0,0.0,0.0
59,training,0.021642549,0.07167584449052812,0.042371674170827774,0.0,0.0,0.0
60,training,0.03452255,0.04573988355696203,0.042371674170827774,0.0,0.0,0.0
61,training,0.02658491,0.04729699343442917,0.042371674170827774,0.0,0.0,0.0
62,training,0.04578217,0.15202327072620392,0.042371674170827774,0.0,0.0,0.0
63,training,0.039065797,0.15053837373852727,0.042371674170827774,0.0,0.0,0.0
64,training,0.035103343,0.06500161346048118,0.04744173349780692,0.0,0.0,0.0
65,training,0.031087786,0.06359697273001073,0.04744173349780692,0.0,0.0,0.0
66,training,0.01794925,0.06254737742710859,0.04744173349780692,0.0,0.0,0.0
67,training,0.03209763,0.060319183277897544,0.04744173349780692,0.0,0.0,0.0
68,training,0.053888604,0.04360823892056942,0.04744173349780692,0.0,0.0,0.0
69,training,0.016030647,0.020499128848314285,0.04744173349780692,0.0,0.0,0.0
70,training,0.02473418,0.025279171764850616,0.06159162823480131,0.0,0.0,0.0
71,training,0.01807719,0.06350928358733655,0.06159162823480131,0.0,0.0,0.0
72,training,0.014866633,0.10835038498044014,0.06159162823480131,0.0,0.0,0.0
73,training,0.035807297,0.12251554057002068,0.06159162823480131,0.0,0.0,0.0
74,training,0.009459583,0.06376511696726084,0.06159162823480131,0.0,0.0,0.0
75,training,0.043048844,0.02239934727549553,0.06159162823480131,0.0,0.0,0.0
76,training,0.02658398,0.003376774489879608,0.0559805945439281,0.0,0.0,0.0
77,training,0.017143821,0.04792938381433487,0.0559805945439281,0.0,0.0,0.0
78,training,0.005220144,0.013769976794719696,0.0559805945439281,0.0,0.0,0.0
79,training,0.032441024,0.005137350410223007,0.0559805945439281,0.0,0.0,0.0
80,training,0.019253692,0.009733244776725769,0.0559805945439281,0.0,0.0,0.0
81,training,0.011956554,0.04001961275935173,0.044277683063767746,0.0,0.0,0.0
82,training,0.017437402,0.0320135485380888,0.044277683063767746,0.0,0.0,0.0
83,training,0.022635546,0.01042411383241415,0.044277683063767746,0.0,0.0,0.0
84,training,0.014997527,0.0304772729286924,0.044277683063767746,0.0,0.0,0.0
85,training,0.003336449,0.04495628597214818,0.044277683063767746,0.0,0.0,0.0
86,training,0.024429401,0.02853024285286665,0.044277683063767746,0.0,0.0,0.0
87,training,0.001974429,0.0012794081121683155,0.03391311841232853,0.0,0.0,0.0
88,training,0.0034556738,0.042418536730110645,0.03391311841232853,0.0,0.0,0.0
89,training,0.0057023843,0.07214725203812122,0.03391311841232853,0.0,0.0,0.0
90,training,0.0025303978,0.02814774215221405,0.03391311841232853,0.0,0.0,0.0
91,training,0.0030895039,0.04030393809080124,0.03391311841232853,0.0,0.0,0.0
92,training,0.014194346,0.027256902307271957,0.03391311841232853,0.0,0.0,0.0
93,training,0.0077634025,0.048436300829052925,0.015954072313748405,0.0,0.0,0.0
94,training,0.04146153,0.03157451143488288,0.015954072313748405,0.0,0.0,0.0
95,training,0.001745413,0.1319730021059513,0.015954072313748405,0.0,0.0,0.0
96,training,0.009575961,0.141318641602993,0.015954072313748405,0.0,0.0,0.0
97,training,0.0061338493,0.05748328939080238,0.015954072313748405,0.0,0.0,0.0
98,training,0.0053816093,0.026020549237728126,0.006051629645996867,0.0,0.0,0.0
99,training,0.053583127,0.06096222251653671,0.006051629645996867,0.0,0.0,0.0
100,training,0.012751941,0.00900338590145111,0.006051629645996867,0.0,0.0,0.0
101,training,0.0027718937,0.12936925888061523,0.006051629645996867,0.0,0.0,0.0
102,training,0.024227891,0.16720782220363617,0.006051629645996867,0.0,0.0,0.0
103,training,0.021179209,0.1416696347296238,0.006051629645996867,0.0,0.0,0.0
104,training,0.013689127,0.07466187165118755,0.006051629645996867,0.0,0.0,0.0
105,training,0.00854298,0.05612043291330339,0.011371667217696335,0.0,0.0,0.0
106,training,0.006444874,0.07432125508785249,0.011371667217696335,0.0,0.0,0.0
107,training,0.0011131049,0.10874730721116063,0.011371667217696335,0.0,0.0,0.0
108,training,0.001852658,0.03512002155184747,0.011371667217696335,0.0,0.0,0.0
109,training,0.0028018751,0.06812307424843311,0.011371667217696335,0.0,0.0,0.0
110,training,0.0062676817,0.10774584487080574,0.011371667217696335,0.0,0.0,0.0
111,training,0.040396884,0.09440001100301743,0.027007504697333692,0.0,0.0,0.0
112,training,0.0026331302,0.08950415044091643,0.027007504697333692,0.0,0.0,0.0
113,training,0.0011522796,0.07985537219792604,0.027007504697333692,0.0,0.0,0.0
114,training,0.014185278,0.05462482199072839,0.027007504697333692,0.0,0.0,0.0
115,training,0.00108295,0.04231803119182588,0.027007504697333692,0.0,0.0,0.0
116,training,0.016972749,0.046530324965715394,0.027007504697333692,0.0,0.0,0.0
117,training,0.007610161,0.05077695101499559,0.0509405397555307,0.0,0.0,0.0
118,training,0.0060230996,0.053824735805392265,0.0509405397555307,0.0,0.0,0.0
119,training,0.0038819902,0.005552701652050018,0.0509405397555307,0.0,0.0,0.0
120,training,0.0034611179,0.03619687259197235,0.0509405397555307,0.0,0.0,0.0
121,training,0.0046452275,0.001820489764213562,0.0509405397555307,0.0,0.0,0.0
122,training,0.0047581852,0.07495687436312437,0.06566331859657162,0.0,0.0,0.0
123,training,0.0028959727,0.02586809545755387,0.06566331859657162,0.0,0.0,0.0
124,training,0.035431694,0.06931091286242008,0.06566331859657162,0.0,0.0,0.0
125,training,0.004550039,0.08389176987111568,0.06566331859657162,0.0,0.0,0.0
126,training,0.0006615217,0.06177105754613876,0.06566331859657162,0.0,0.0,0.0
127,training,0.0015117867,0.044729674234986305,0.06566331859657162,0.0,0.0,0.0
128,training,0.0024104463,0.07469377480447292,0.06872824703528102,0.0,0.0,0.0
129,training,0.028691573,0.09506376832723618,0.06872824703528102,0.0,0.0,0.0
130,training,0.0025789873,0.10960566718131304,0.06872824703528102,0.0,0.0,0.0
131,training,0.005472079,0.03540658205747606,0.06872824703528102,0.0,0.0,0.0
132,training,0.0037796316,0.005293726921081529,0.06872824703528102,0.0,0.0,0.0
133,training,0.0028988232,0.06450984254479408,0.06872824703528102,0.0,0.0,0.0
134,training,0.0028796238,0.016177713871002197,0.06872824703528102,0.0,0.0,0.0
135,training,0.0013238586,0.02561238035559653,0.06800591649215326,0.0,0.0,0.0
136,training,0.00020126915,0.06737832725048064,0.06800591649215326,0.0,0.0,0.0
137,training,0.0004624345,0.02136364020407199,0.06800591649215326,0.0,0.0,0.0
138,training,0.008739475,0.007453609257936471,0.06800591649215326,0.0,0.0,0.0
139,training,0.007957378,0.028272727504372597,0.06800591649215326,0.0,0.0,0.0
140,training,0.0011463263,0.03973970003426075,0.06800591649215326,0.0,0.0,0.0
141,training,0.00072914385,0.03129392210394144,0.060937022155963715,0.0,0.0,0.0
142,training,0.0062200185,0.07480554655194283,0.060937022155963715,0.0,0.0,0.0
143,training,0.0042700027,0.044953128322958946,0.060937022155963715,0.0,0.0,0.0
144,training,0.0015182631,0.023013385012745857,0.060937022155963715,0.0,0.0,0.0
145,training,0.0039785905,0.0037983786314725876,0.060937022155963715,0.0,0.0,0.0
146,training,0.0022380727,0.041560595855116844,0.04138074021544688,0.0,0.0,0.0
147,training,0.00087894406,0.1082830186933279,0.04138074021544688,0.0,0.0,0.0
148,training,0.004233807,0.0914924144744873,0.04138074021544688,0.0,0.0,0.0
149,training,0.00090339326,0.07727454602718353,0.04138074021544688,0.0,0.0,0.0
150,training,0.0036418198,0.039583987556397915,0.04138074021544688,0.0,0.0,0.0
151,training,0.0025429672,0.0453851418569684,0.04138074021544688,0.0,0.0,0.0
